OaSIS profile code,Main duties
30010,Consult with boards of directors and senior managers to maintain and establish standards for the provision of health care services
30010,Develop evaluation systems to monitor the quality of health care given to patients
30010,"Monitor the use of diagnostic services, in-patient beds and facilities to ensure effective use of resources"
30010,"Develop and implement plans for new programs, special projects, new material and equipment acquisitions and future staffing levels in their department or establishment"
30010,Plan and control departmental or establishment budget
30010,"Represent the department or establishment at meetings with government officials, the public, the media and other organizations"
30010,Supervise health care supervisors and professionals
30010,Recruit health care staff of the department or establishment.
31100.01,"Administer anesthetics prior to, during, or after surgery or other medical procedures."
31100.02,Diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems. Provide care mainly for adults who have a wide range of problems associated with the internal organs.
31100.03,"Diagnose, treat, and help prevent children's diseases and injuries."
31100.04,"Diagnose, treat, and help prevent disorders of the mind."
31100.05,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
31100.06,"Provide inpatient care predominantly in settings such as medical wards,  intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment."
31100.07,"Diagnose, treat, and help prevent diseases and disorders of the nervous system involving the brain and spinal cord and other nerve and muscular conditions."
31100.08,"Diagnose and treat diseases using radioactive materials. May monitor radionuclide preparation, administration, and disposition."
31100.09,"Diagnose, treat, and help prevent diseases or other conditions of the skin."
31100.1,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation."
31100.11,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May diagnose and treat patients in the context of clinical health promotion and disease prevention."
31100.12,Examine and diagnose disorders and diseases using x-rays and radioactive materials. May treat patients.
31100.13,"Diagnose and treat diseases and physiological or psychiatric disorders. Order laboratory tests, X-rays and other diagnostic procedures. Prescribe medication and treatment and refer patients for surgery. Act as consultants to other physicians. May conduct medical research."
31100.14,"Diagnose presence and stage of diseases using laboratory techniques and patient specimens. Study the nature, cause and development of diseases in humans and the structural and functional changes caused by diseases. Act as consultants to other physicians. May perform autopsies."
31101.01,"Treat diseases, injuries, and deformities by invasive, minimally-invasive, or non-invasive surgical methods, such as using instruments, appliances, or by manual manipulation."
31101.02,"Provide medical care related to pregnancy or childbirth.  Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general medical care to women. May perform both medical and gynecological surgery functions."
31101.03,"Diagnose, treat, and help prevent diseases and injuries of the eyes and related structures."
31101.04,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
31101.05,Assess patients' diseases or disorders to determine appropriate surgical procedures
31101.05,Perform and supervise surgical procedures to correct physical abnormalities and deficiencies and repair injuries
31101.05,Act as consultants to other physicians.
31102,"Examine patients and take their histories, order laboratory tests, X-rays and other diagnostic procedures and consult with other medical practitioners to evaluate patients' physical and mental health"
31102,Prescribe and administer medications and treatments
31102,Perform and assist in routine surgery
31102,Provide emergency care
31102,Provide acute care management
31102,Vaccinate patients to prevent and treat diseases
31102,Deliver babies and provide pre-natal and post-natal care
31102,"Advise patients and their families on health care including health promotion, disease, illness and accident prevention"
31102,Provide counselling and support to patients and their families on a wide range of health and lifestyle issues
31102,Perform patient advocacy role
31102,Coordinate or manage primary patient care
31102,Provide continuous care to patients
31102,Supervise home care services
31102,"Report births, deaths, and contagious and other diseases to governmental authorities."
31103,"Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests"
31103,"Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery"
31103,Vaccinate animals to prevent and treat diseases
31103,"Perform routine, emergency and post-mortem examinations"
31103,"Advise clients on feeding, housing, behaviour, breeding, hygiene and general care of animals"
31103,"Provide a range of veterinary services including obstetrics, dentistry and euthanasia"
31103,May supervise animal health technologists and animal care workers
31103,"May be responsible for overall operation of animal hospital, clinic or mobile service to farms"
31103,"May conduct veterinary research related to areas such as animal nutrition, health care products development and disease prevention and control"
31103,May enforce government regulations in disease control and food production including animal or animal-based food inspection.
31110.01,"Examine patients' teeth, gums and surrounding tissue to diagnose disease, injury and decay and plan appropriate preventive or corrective treatment"
31110.01,"Provide general dental care such as cleaning teeth, filling cavities, performing root canals, applying veneers, and fitting crowns, bridges and dentures"
31110.01,"Restore, extract and replace diseased and decayed teeth"
31110.01,Instruct patients on oral hygiene and preventive dental care
31110.01,Monitor patient progress to identify changes or the progression of dental disease
31110.01,Prescribe antibiotics or other medication as required
31110.01,"Bleach, clean, or polish teeth to restore natural color"
31110.01,Refer patients to dental specialists as needed for recommended procedures
31110.01,"Supervise dental hygienists, dental assistants and other staff"
31110.01,May provide basic orthodontic treatments with additional training.
31110.02,"Collaborate with other professionals, such as restorative dentists and orthodontists, to plan treatment"
31110.02,Administer general and local anesthetics
31110.02,Perform surgery to prepare the mouth for dental implants orto aid in the regeneration of deficient bone and gum tissues
31110.02,"Remove impacted, damaged, and non-restorable teeth, as well as tumors and other abnormal growths of the oral and facial regions"
31110.02,"Perform surgery on the mouth and jaws to treat conditions, such as cleft lip, palate, and jaw growth problems"
31110.02,"Provide emergency treatment of facial injuries including facial lacerations, intra-oral lacerations, and fractured facial bones"
31110.02,"Treat infections of the oral cavity, salivary glands, jaws, and neck."
31110.03,"Examine patients' teeth, gums and surrounding tissue to assess abnormalities of jaw development, tooth position, and other dental-facial structures"
31110.03,Diagnose teeth and jaw or other dental-facial abnormalities
31110.03,"Propose treatment plan for conditions such as underbites, overbites, crowding and others"
31110.03,"Design and fabricate appliances, such as space maintainers, retainers, and labial and lingual arch wires"
31110.03,Fit dental appliances in patients' mouths to alter the position and relationship of teeth and jaws or to realign teeth
31110.03,Coordinate orthodontic services with other dental and medical professionals
31110.03,"Educate patients about improving and maintaining orthodontic care, and promoting routine dental health care."
31110.04,"Examine patient’s teeth, gums and jaws to diagnose disease, injury and decay, and plan appropriate treatment to enhance patients’ dental and facial aesthetics, or correct orofacial problems"
31110.04,"Replace missing teeth and associated oral structures with permanent fixtures, such as implant-supported prostheses, crowns and bridges, or removable fixtures, such as dentures"
31110.04,"Restore function and improve aesthetics for traumatic injury victims, or individuals with diseases or birth defects"
31110.04,"Design and fabricate dental prostheses, or supervise dental technicians who construct the devices"
31110.04,"Fit prostheses to patients, making any necessary adjustments and modifications"
31110.04,"Restore damaged teeth with materials such as fillings, veneers and crowns"
31110.04,"Collaborate with general dentists, dental specialists, and other health professionals to develop solutions to dental and oral health concerns."
31111,"Examine patients' eyes, conduct tests and use ophthalmoscopes, biomicroscopes and other specialized instruments to determine ocular health and visual efficiency"
31111,"Prescribe and provide treatment (excluding surgery) to maintain, improve and correct vision and manage other ocular diseases and disorders"
31111,"Prescribe, dispense and fit eyeglasses, contact lenses and other visual aids"
31111,"Educate, counsel and advise patients on contact lens use and care, ocular hygiene, surgical and non-surgical options, and preventive care and maintenance related to occupation and lifestyle"
31111,"Refer patients to ophthalmologists or other physicians and surgeons for treatment of ocular diseases or conditions such as cataracts, glaucoma and macular degeneration and systemic conditions such as diabetes and high blood pressure"
31111,Collaborate with ophthalmologists and other healthcare professionals to provide pre- and post-operative care for patients undergoing eye surgeries such as laser vision correction
31111,May prescribe from a limited list of medications
31111,Conduct research and promote advancement in the visual sciences.
31112.01,Develop and administer audiometric tests and examinations using specialized instruments and electronic equipment to diagnose and evaluate the degree and type of patients' hearing impairment
31112.01,"Plan and implement habilitation/rehabilitation programs for patients, including selection, fitting and adjustment of amplification devices, such as hearing aids, balance retraining exercises and teaching speech (lip) reading"
31112.01,"Educate and counsel patients and families regarding the nature, extent, impact and implications of hearing loss and treatment"
31112.01,Establish personalized care plans working as a member of an interdisciplinary team
31112.01,Conduct research related to hearing and hearing disorders
31112.01,"May instruct and supervise audiometric technicians, students and other health care personnel."
31112.02,"Administer tests and examinations and observe patients to diagnose and evaluate speech, voice, resonance, language, fluency, cognitive-linguistic and swallowing disorders"
31112.02,"Develop, plan and implement remedial programs to correct speech, voice, language, fluency, resonance, cognitive-linguistic and swallowing disorders"
31112.02,Establish group and personalized care plans working as a member of an interdisciplinary team
31112.02,Educate and counsel patients and families regarding communication and swallowing disorders
31112.02,Conduct research on speech and other communication disorders and on the development and design of diagnostic procedures and devices
31112.02,"May instruct and supervise communicative disorders assistants, students and other health care personnel."
31120.01,Check prescriptions for proper dosage
31120.01,"Compound prescribed pharmaceutical products by calculating, measuring and mixing the quantities of drugs and other ingredients required and filling appropriate containers with correct quantity"
31120.01,"Dispense prescribed pharmaceuticals to customers or to other health care professionals and advise them on indications, contra-indications, adverse effects, drug interactions and dosage"
31120.01,Maintain medication profiles of customers including registry of poisons and narcotic and controlled drugs
31120.01,"Ensure proper preparation, packaging, distribution and storage of vaccines, serums, biologicals and other drugs and pharmaceuticals"
31120.01,Order and maintain stock of pharmaceutical supplies
31120.01,Advise customers on selection and use of non-prescription medication
31120.01,Renew existing prescriptions in limited circumstances
31120.01,"May adapt the formulation, regimen, duration or route of administration of medication"
31120.01,"May supervise and coordinate the activities of other pharmacists, pharmacy assistants, pharmacy technicians and other staff."
31120.02,Participate in research for the development of new drugs
31120.02,Formulate new drug products developed by medical researchers
31120.02,Test new drug products for stability and to determine absorption and elimination patterns
31120.02,Coordinate clinical investigations of new drugs
31120.02,"Control the quality of drug products during production to ensure that they meet standards of potency, purity, uniformity, stability and safety"
31120.02,"Develop information materials concerning the uses, properties and risks of particular drugs"
31120.02,"Evaluate labelling, packaging and advertising of drug products"
31120.02,Promote pharmaceutical products to health professionals.
31121,"Develop, implement and evaluate nutrition programs and services for individuals, communities and populations"
31121,"Manage food service systems in hospitals, long-term care facilities, schools, privately owned-food service outlets or similar settings"
31121,"Provide nutrition guidance, label interpretation and consultation services to health professionals, individuals, dietetic interns, community groups, government and the media"
31121,Evaluate nutritional status of individuals and aid in the prevention and/or treatment of inadequate nutrition
31121,"Plan, evaluate and conduct nutrition education programs and develop educational materials for various audiences"
31121,"Practice on an individual basis or as a member of an interdisciplinary team to determine nutritional needs of patients and to plan, implement and evaluate normal and therapeutic diets to maintain and enhance general health"
31121,"Analyze current scientific nutritional studies, conduct research and evaluate program effectiveness to improve the nutritional value, taste, appearance and preparation of food"
31121,"Work within industry in the development, testing and evaluation, and marketing of food and nutrition products or as a company representative supplying product related information to health professionals"
31121,"Confer with other health professionals, community groups, government and the media to provide consultation and advice in areas of nutrition interpretation, intervention and policy"
31121,Supervise training of dietetic interns.
31200,"Examine and assess behaviour, diagnose behavioural, emotional and cognitive disorders, counsel clients and provide therapy"
31200,Help clients manage physical illness and disorders
31200,"Counsel individuals and groups to achieve more effective personal, social and vocational development and adjustment, and offer mediation services"
31200,Use standard psychological tests for assessment
31200,Plan intervention programs and conduct program evaluation
31200,"Apply psychological theory and principles regarding behaviour and mental processes such as learning, language development, memory and perception to develop treatment programs"
31200,"Formulate hypotheses and experimental designs, review literature, conduct studies and publish research papers, educational texts and articles"
31200,"Deliver presentations at conferences, workshops or symposia"
31200,Provide consultation services to government and other organizations
31200,Conduct applied psychology and/or experimental research.
31201,Conduct patient interviews and take medical histories
31201,"Conduct an examination including postural assessment, range of motion tests, neurological and orthopedic examination, and palpation of joints and soft tissues"
31201,Prescribe and/or perform X-rays and other imaging and tests as required to diagnose patient's condition
31201,"Diagnose neuromuscular-skeletal disorders of the spinal column, pelvis, extremities and associated tissues"
31201,"Define and implement a treatment plan including spinal and joint adjustment or manipulations, soft tissue work and/or the use of complementary therapies such as electrotherapy, acupuncture, heat therapy and massage"
31201,Communicate and collaborate with other health care professionals
31201,"Advise patients on alternate treatment modalities such as corrective exercises, posture,  nutritional and lifestyle counselling, that have positive effects on the spine, joints, muscles and nervous system"
31201,Refer patients to other health care professionals when appropriate.
31202,Assess clients' physical abilities through evaluative procedures such as functional ability tests and make a physiotherapy diagnosis
31202,Establish treatment goals with patients based on  diagnoses
31202,"Develop and implement physiotherapy treatment plans including therapeutic exercise, manipulations, massage, education, electrotherapy, hydrotherapy and other modalities"
31202,Evaluate effectiveness of treatment plans and modify accordingly
31202,Provide advice on exercise and strategies to implement at home to enhance and or maintain treatment
31202,"Communicate with referring physician and other health care professionals regarding clients' problems, needs and progress"
31202,Maintain clinical and statistical records and confer with other health care professionals
31202,"Develop and implement health promotion programs for clients, staff and the community"
31202,May conduct research in physiotherapy
31202,Provide consulting or education services as required.
31203,"Analyse clients' capabilities and expectations related to life activities through observation, interviews and formal assessments"
31203,"Develop intervention programs to address clients' needs related to self-care, work and leisure activities"
31203,Maintain clients' records
31203,Establish personalized care plans working as a member of an interdisciplinary team
31203,Consult and advise on health promotion programs to prevent disabilities and to maximize independent function in all activities of life
31203,May supervise support personnel and students and provide training.
31204.01,"Assess patients and review reports from physicians, physiotherapists, psychiatrists, counsellors, teachers and other professionals to determine patients' capabilities and needs."
31204.01,"Prepare individualized and group treatment plans either independently or through a multidisciplinary team approach, based on health concerns and on recommendations from physicians or other health professionals"
31204.01,"Design and carry out specialized therapy sessions employing techniques such as art, athletic, dance, music or recreational therapy or remedial gymnastics to meet specific physical or psychological needs of patients"
31204.01,"Co-ordinate, initiate, design and implement specialized therapy programs for the general patient population and in the community"
31204.01,Advise patients on how to deal with their mental and physical abilities and help them integrate into the community
31204.01,"Observe, analyze and record, patients' participation, reactions, and progress during treatment sessions and consult with other health care professionals to evaluate and modify treatment plans as needed"
31204.01,May conduct research in therapeutic recreation.
31204.02,Assess clients to determine their current and potential functioning level and to aid in the development of individualized recovery or rehabilitation programs
31204.02,"Design specialized therapy programs to maintain, rehabilitate or enhance movement, musculoskeletal functioning and performance in sports, work and recreation"
31204.02,"Implement therapeutic programs by employing approaches and techniques such as exercise, sports or other movement therapy"
31204.02,Instruct clients on techniques to rehabilitate physical injuries or improve physical performance
31204.02,"Observe, record observations and analyze clients during treatment sessions, write progress reports and consult with other health professionals to evaluate and modify treatment plans as required"
31204.02,"May advise clients regarding health promotion and injury prevention, management and treatment"
31204.02,May conduct research in respective field of specialization.
31209.01,"Diagnose diseases, deformities and injuries of the human foot and communicate diagnoses to patients"
31209.01,"Treat patients using braces, casts, shields, orthotic devices, physical therapy, or prescribed medications"
31209.01,May also perform surgery on the bones of the forefoot and the subcutaneous soft tissues of the foot.
31209.02,"Diagnose diseases, deformities and injuries of the human foot"
31209.02,"Treat patients using braces, casts, shields, orthotic devices, physical therapy and subcutaneous soft-tissue foot surgery."
31209.03,Diagnose patients' diseases and disorders
31209.03,"Employ natural methods of healing such as acupuncture and acupressure, spinal manipulation, reflexology, hydrotherapy, herbal medicines, biochemical therapy, clinical nutrition, homeopathy and counselling in their treatment."
31209.04,"Diagnose disorders and injuries of the musculoskeletal, circulatory and nervous systems"
31209.04,"Treat patients with manipulative therapy, medications or surgery."
31300,"Supervise registered nurses, licensed practical nurses and other nursing personnel"
31300,Evaluate patients' needs and ensure that required nursing care is delivered
31300,Set up and coordinate nursing services in conjunction with other health services
31300,Ensure quality nursing care is provided and appropriate administrative procedures are followed
31300,Assist in the establishment of unit policies and procedures
31300,Administer nursing unit budget and ensure that supplies and equipment are available
31300,"Assist in the selection, evaluation and professional development of nursing personnel"
31300,Collaborate on research projects related to nursing and medical care and multidisciplinary services
31300,May provide direct patient care.
31301.01,Assess patients to identify appropriate nursing interventions
31301.01,"Collaborate with members of an interdisciplinary health team to plan, implement, coordinate and evaluate patient care in consultation with patients and their families"
31301.01,Administer medications and treatments as prescribed by a physician or according to established policies and protocols
31301.01,"Monitor, assess, address, document and report symptoms and changes in patients' conditions"
31301.01,Operate or monitor medical apparatus or equipment
31301.01,Assist in surgery and other medical procedures
31301.01,May supervise licensed practical nurses and other nursing staff
31301.01,May develop and implement discharge planning process on admission of patients
31301.01,May teach and counsel patients and their families on health-related issues in collaboration with other health care providers.
31301.02,Develop and implement employee health education programs and provide registered nursing care in private businesses and industry.
31301.03,"Provide health education and registered nursing care in public health units and through home visits, manage complex home care cases, participate in community needs assessment and program development, conduct disease screening and deliver immunization programs."
31301.04,"Provide nursing care, supportive counselling and life skills programming to patients in psychiatric hospitals, mental health clinics, long-term care facilities and community-based settings."
31301.05,"Engaged in research activities related to nursing, as self-employed or as employed by hospitals, public and private organizations and governments"
31301.05,"Provide consultative services to institutes, associations and health care organizations regarding issues and concerns relevant to the nursing profession and nursing practice."
31301.06,"Provide leadership, advice and counsel on the provision of research-based care for specific patient groups within the care of particular health care organizations."
31302,Examine patients and take their medical histories and consult with physicians and other medical practitioners to evaluate patients' physical and mental health
31302,"Order laboratory tests, X-rays and other diagnostic procedures"
31302,Inoculate and vaccinate patients
31302,"Advise patients and their families on health care including health promotion, disease, illness and accident prevention"
31302,"Collaborate with members of an interdisciplinary health team such as family physicians, therapists and nutritionists to plan, implement, coordinate and evaluate patient care in consultation with patients and their families"
31302,Perform a patient advocacy role
31302,Prescribe and administer medications
31302,May co-ordinate or manage primary patient care.
31303.01,"Conduct patient interviews, physical assessments and take medical histories"
31303.01,Perform or order diagnostic tests and interpret results
31303.01,"In consultation with a supervising physician, formulate and implement treatment plans and monitor patients' progress"
31303.01,Perform and assist in minor surgery
31303.01,Provide health maintenance education
31303.01,May participate in research activities
31303.01,May prescribe from a limited list of medications.
31303.02,"Provide primary, full-course, care to women and their babies during pregnancy, such as physical examinations, screening and diagnostic tests to monitor the health of mother and baby and make referrals to medical specialists as required"
31303.02,Manage labour and spontaneous normal deliveries
31303.02,"Care for, assess and monitor the health of newborns and refer infants to appropriate medical services as required"
31303.02,Provide advice and guidance regarding care for newborns and young infants.
31303.03,Provide information and support to families affected by or at risk of a genetic disorder
31303.03,"Gather and analyze family history and inheritance patterns, calculate risks of recurrence, and provide information about genetic testing and related procedures"
31303.03,"Develop, implement or coordinate action plans and refer individuals and families to other health professionals"
31303.03,Design and conduct genetics training programs for other healthcare professionals or the general public
31303.03,May conduct research in the field of medical genetics and genetic counselling.
31303.04,Work alongside ophthalmologists to diagnose and treat eye disorders by performing specialized eye tests to measure and assess defective binocular vision or abnormal eye movement in patients
31303.04,Prescribe treatment such as eye exercises or patching regimens.
31303.05,Prepare for autopsies by obtaining patients' medical records and arranging for radiographic examinations
31303.05,"Prepare, assist with or perform autopsies and surgical specimen examinations under pathologists' supervision"
31303.05,Assist with preparation of provisional autopsy report
31303.05,"Dissect, examine, weigh, photograph and X-ray organs and specimens, collect tissue samples for chemical analysis and record findings"
31303.05,Discard specimens according to established safety procedures
31303.05,"Clean and maintain instruments, equipment and supplies"
31303.05,Develop and maintain processes for laboratory quality control
31303.05,May prepare bodies for release to funeral homes following completion of autopsies
31303.05,May supervise and train junior resident pathologists and morgue attendants.
32100,"Obtain specifications for eyeglasses or contact lenses from a prescription prepared by an ophthalmologist or optometrist or by analyzing the client's eyeglasses or contact lenses and take necessary measurements including the curvature of the eyes, the accurate position of the pupils and bridge width, using optical measuring devices"
32100,"Advice clients on eyeglasses selection by informing them of different products such as lens materials, frames, tints and anti-reflection coating"
32100,Adjust contact lenses and inform client on use and care
32100,"Grind, polish, cut and edge lenses or have them made by a laboratory before inserting them into the frame"
32100,Adjust finished eyeglasses to fit client
32100,May supervise or manage the activities of other opticians or student opticians.
32101.01,"Provide nursing services, within defined scope of practice, to patients based on patient assessment and care planning procedures"
32101.01,"Perform nursing interventions such as taking vital signs, applying aseptic techniques including sterile dressing, ensuring infection control, monitoring nutritional intake and conducting specimen collection"
32101.01,Administer medication and observe and document therapeutic effects
32101.01,Provide pre-operative and post-operative personal and comfort care
32101.01,Monitor established respiratory therapy and  intravenous therapy
32101.01,"Monitor patients' progress, evaluate and document effectiveness of nursing interventions and collaborate with appropriate members of health care team"
32101.01,Provide safety and health education to individuals and their families.
32101.02,"Prepare patients for surgery by washing, shaving and sterilizing the patients' operative areas"
32101.02,"Assist in surgery by laying out instruments, setting up equipment, assisting surgical teams with gowns and gloves and passing instruments to surgeons"
32101.02,"Monitor patients' status during surgery, such as intake, output and loss of blood, and communicate and document any changes"
32101.02,Clean and sterilize the operating room and instruments.
32102,"Assess extent of injuries or medical illnesses of trauma victims, patients with respiratory disease and stress, overdose and poisoning victims, industrial accident victims and other ill or injured individuals to determine emergency medical treatment"
32102,"Administer pre-hospital emergency care to patients such as oxygen therapy, cardiopulmonary resuscitation (CPR), spinal immobilization, bandaging and splinting"
32102,"Establish and maintain intravenous treatment (IV), apply adjunctive equipment for ventilation and circulation complications, administer medications and provide other advanced emergency treatment to patients"
32102,"Transport patients by air, land or water to hospital or other medical facility for further medical care"
32102,"Collaborate with ambulance dispatch centres, hospital staff, police, firefighters and family members to ensure relevant information is collected and proper treatment is administered"
32102,Document and record nature of injuries and illnesses and treatment provided
32102,"Assist hospital personnel with provision of medical treatment, if necessary"
32102,Maintain emergency care equipment and supplies
32102,May train and supervise other workers in this unit group
32102,May assist with triage of emergency patients.
32103.01,"Perform diagnostic tests, such as arterial blood gas analysis and cardiopulmonary functions tests"
32103.01,"Operate and monitor respiratory equipment to administer treatments such as oxygen, oxygen-air mixtures, humidified air or specialty medical gases"
32103.01,"Operate, monitor, maintain and test a variety of diagnostic and therapeutic equipment"
32103.01,"Perform or assist with interventions such as airway maintenance, line insertions, inductions and intubations, and manage patients and associated equipment"
32103.01,Execute anesthesia assistance services
32103.01,Perform artificial respiration and external cardiac massage
32103.01,Evaluate and monitor patients’ cardiorespiratory conditions
32103.01,Provide and optimize patients’ mechanical ventilation
32103.01,Assist with transport of high-risk patients
32103.01,May prepare and administer authorized medications
32103.01,Supervise and train students and other respiratory therapists
32103.01,Participate in home care programs for chronic respiratory patients and provide patient and family education
32103.01,Participate in research related to cardiac and pulmonary disorders.
32103.02,"Assemble, maintain and operate extracorporeal circulation equipment, intra-aortic balloon pumps and other heart assist devices to support or temporarily replace patients' cardiopulmonary functions during open-heart surgery"
32103.02,"Administer blood products, drugs and other substances through heart-lung machines and other devices as directed by cardiac surgeons and anaesthetists to maintain adequate flow of oxygenated blood to all organs of the body"
32103.02,Monitor vital signs to support and maintain patients' physiological functions and metabolic needs during cardiopulmonary surgery
32103.02,"Participate in routine maintenance, calibration and inspection of all perfusion related equipment"
32103.02,Supervise and train student clinical perfusionists and other clinical perfusionists.
32103.03,"Perform diagnostic tests, such as pulmonary function and asthma stress, or assist physicians with cardiac and cardiopulmonary stress tests and bronchoscopies"
32103.03,Determine patients' blood characteristics such as activated clotting time and oxygen saturation
32103.03,"Operate, monitor, maintain, calibrate and test diagnostic and therapeutic equipment"
32103.03,Monitor patients and advise physician of any changes in patients' condition
32103.03,Prepare medications and administer inhaler and other treatments under supervision of cardiologist
32103.03,Provide information and care for patients during tests
32103.03,"Assist with the preparation of cardiac catheterization room, prepare specialized catheters and assist cardiologists during catheterization"
32103.03,"Perform analysis, programming and monitoring of implanted devices such as pacemakers and defibrillators during surgery"
32103.03,Supervise and train students and other cardiopulmonary technologists
32103.03,Provide technical support for research.
32104,Provide nursing care and rehabilitation therapy for animals
32104,"Handle, restrain and care for animals undergoing treatment and surgery"
32104,"Produce radiographs, collect and analyse samples and perform other laboratory tests to assist in diagnosis of animal health problems"
32104,"Assist veterinarian with animals before, during and following surgery by preparing surgical equipment, administering and monitoring anaesthetics and cleaning up after surgery"
32104,Prepare and administer medications and vaccines under direction of a veterinarian
32104,Administer treatments as prescribed by a veterinarian
32104,Provide wound and bandage care
32104,Conduct specialized procedures such as animal identification and hoof trimming
32104,Educate and advise clients on animal health care including nutrition and home care
32104,Assist in laboratory research
32104,Perform routine animal dental procedures and assist veterinarians with animal dentistry
32104,May perform a variety of office management and clerical duties.
32109.01,Examine adult clients to assess hearing loss using diagnostic evaluation and electro acoustic testing
32109.01,Recommend and dispense or sell appropriate type of hearing instrument
32109.01,Take earmold impressions for use in the manufacture of hearing devices
32109.01,"Fit, adjust and make minor modifications to hearing instruments"
32109.01,"Educate clients in appropriate use, care and maintenance of hearing instruments"
32109.01,Communicate with audiologist or other health care professionals regarding patients' condition
32109.01,Perform follow-up examinations and readjustments.
32109.02,Assist speech-language pathologists and audiologists during assessment of patients
32109.02,"Carry out treatment programs, document results and develop materials for use with patients, under the supervision of speech-language pathologists or audiologists"
32109.02,Document patient rehabilitation progress
32109.02,Check and maintain therapeutic equipment and materials.
32109.03,Take patients' general medical and ophthalmic history
32109.03,"Conduct specialized testing such as refractometry, ultrasonography, fluorescein angiography or ocular motility testing  to aid ophthalmologists in assessing patients' vision"
32109.03,"Instruct patient on diagnostic test and record, interpret and troubleshoot results"
32109.03,"Assist ophthalmologists in performing ophthalmic procedures, and surgeries"
32109.03,Prepare specimens for culture and staining
32109.03,Administer topical ophthalmic or oral medications as directed by ophthalmologists
32109.03,Maintain ophthalmic instruments or equipment
32109.03,May instruct and supervise other ophthalmic staff and perform various administrative duties
32109.03,May participate in research activities.
32109.04,Collect and analyse information from clients' file upon referral from the physiotherapist or physician
32109.04,"Develop, implement and monitor treatment plans of clients in collaboration with the physiotherapist or physician"
32109.04,"Use a variety of therapeutic modalities such as manual techniques (e.g. massage), exercises, electrotherapy, hydrotherapy and thermotherapy (ice or heat) to achieve treatment objectives"
32109.04,"Advise clients on postures, lifestyle and exercises to help them improve their physical condition."
32109.05,"Under the direction of physiotherapists and/or occupational therapists, carry out treatment programs such as thermotherapy, traction, hydrotherapy and electrotherapeutic techniques to rehabilitate patients with various injuries or disabilities to maximize their ability to independently manage daily activities."
32110,Measure patients' jaws to determine size and shape of dentures required
32110,"Make impressions of patients' teeth, gums and jaws"
32110,Design and construct dentures or direct other workers to construct dentures
32110,"Insert, fit and modify new dentures"
32110,Repair dentures
32110,"Reline, rebase and adjust dentures"
32110,"Fabricate mouth protectors, anti-snoring prostheses and removable prostheses on implants"
32110,May order radiographs
32110,May prepare partial dentures
32110,May perform denture whitening and cleaning.
32111.01,"Conduct patient screening and oral health assessments, including taking vital signs and documenting patient medical and health history"
32111.01,Take dental impressions
32111.01,Take and develop X-rays
32111.01,"Perform preventative dental procedures such as teeth cleaning, scaling, gum stimulation and fluoride and sealant applications"
32111.01,"Provide oral care instructions such as oral hygiene procedures, strategies to maintain and improve oral health and on the impact of nutrition on oral health"
32111.01,Consult with dentists on patient care
32111.01,May perform restorative and orthodontic procedures under the direction of a dentist
32111.01,May supervise dental assistants in their health care functions
32111.01,May participate in community- or school-based oral health initiatives such as oral screening.
32111.02,"Perform routine dental check-ups, oral cancer examinations and emergency dental examinations"
32111.02,Take dental impressions
32111.02,Take and develop X-rays
32111.02,"Perform preventative dental procedures such as teeth cleaning, gum stimulation and fluoride and sealant applications"
32111.02,"Provide oral care instructions such as oral hygiene procedures, strategies to maintain and improve oral health and on the impact of nutrition on oral health"
32111.02,Perform routine teeth restorations and uncomplicated extractions and provide post extraction oral care instructions
32111.02,Refer patients to other dental professionals for care beyond the scope of the dental therapist
32111.02,Provide oral health promotion activities
32111.02,May supervise dental assistants in their health care functions.
32112,"Design, fabricate, modify or repair dental devices including full or partial dentures, orthodontic appliances, crowns, bridges, inlays, onlays, clasps and bands, and implants"
32112,"Ensure proper handling and control of hazardous materials, and adhere to laboratory infection control procedures as required."
32112,May consult with dentists or other specialists on problematic dental cases
32112,May train and supervise other dental technicians and dental laboratory assistants in fabricating dentures and other dental devices
32112,"May conduct research in the science, techniques and practice of dental technology"
32112,May perform administrative functions for the dental laboratory.
32120,"Set up, operate and maintain laboratory equipment"
32120,"Conduct and interpret chemical analyses of blood, urine, and cerebrospinal and other body fluids"
32120,Study blood cells and other tissues to determine their relation to various physiological and pathological conditions
32120,Prepare tissue sections for microscopic examinations using techniques to demonstrate special cellular tissue elements or other characteristics
32120,"Perform and interpret blood group, type and compatibility tests for transfusion purposes"
32120,"Validate, document and report test results"
32120,Establish procedures for the analysis of specimens and for medical laboratory experiments
32120,Conduct quality control assessment of testing techniques
32120,"May supervise and train other medical laboratory technical staff, students and helpers"
32120,May assist pathologists during autopsies.
