Code de profil professionnel SIPeC,Enonce principal
22111.05,"Les inspecteurs en protection des végétaux contrôlent et vérifient les produits agricoles afin de s'assurer de leur conformité aux normes prescrites de production, d'entreposage et de transport. Cette profession comprend aussi les surveillants des inspecteurs des produits agricoles."
22112.00,"Les technologues et les techniciens en sciences forestières peuvent travailler indépendamment ou exécuter des tâches techniques et de supervision reliées à la recherche forestière, à la gestion et l'exploitation des forêts, à la conservation des ressources forestières et à la protection de l'environnement."
22113.00,"Les techniciens du milieu naturel et de la pêche, les inspecteurs et les observateurs veillent au respect des règlements fédéraux et provinciaux établis afin de protéger la pêche, la faune et les autres ressources naturelles, et rassemblent et transmettent des renseignements sur la gestion des ressources."
22114.01,Les spécialistes des arbres et des arbustes et les techniciens en service d'entretien d'arbres examinent et soignent les plantes et les arbres abîmés et malades.
22114.02,"Les responsables de l'entretien d'un terrain de golf supervisent et coordonnent les activités des travailleurs qui s'occupent de l'entretien des terrains, des verts et du gazon dans les terrains de golf."
22114.03,Les horticulteurs font des expériences et des études sur les fruits et les fleurs afin de créer et d'améliorer les diverses espèces de plantes et les méthodes de production.
22114.04,"Les concepteurs-paysagistes, les techniciens et les technologues en architecture paysagère étudient et évaluent les terrains et aident à la création d'environnements paysagers."
22114.05,"Les jardiniers-paysagistes aident à faire les aménagements paysagers des terrains résidentiels, commerciaux et industriels."
22114.06,Les paysagistes conçoivent et construisent des aménagements paysagers.
22114.07,Les spécialistes de pelouses appliquent des produits sur les pelouses de leurs clients et font la promotion des services de soins aux pelouses.
22210.00,"Les technologues et les techniciens en architecture peuvent travailler indépendamment ou fournir une aide technique aux architectes et aux ingénieurs-concepteurs civils en effectuant des recherches, en préparant des dessins, des maquettes, des devis descriptifs et des contrats, et en assurant la supervision de projets de construction."
22211.00,Les designers industriels conçoivent et produisent des dessins pour des produits manufacturés.
22212.01,"Les technologues en dessin préparent des modèles et des dessins d'ingénierie et rassemblent des informations techniques connexes en travaillant dans des équipes multidisciplinaires d'ingénierie ou en tant que soutien des ingénieurs, des architectes et des designers industriels, ou encore en travaillant indépendamment."
22212.02,"Les techniciens en dessin préparent des modèles et des dessins d'ingénierie et rassemblent des informations techniques connexes en travaillant dans des équipes multidisciplinaires d'ingénierie ou en tant que soutien des ingénieurs, des architectes et des designers industriels, ou encore en travaillant indépendamment."
22213.01,"Les technologues en arpentage effectuent des levés ou y participent afin de déterminer l'emplacement exact et la position relative des éléments naturels et autres structures à la surface de la terre, sous la terre et sous l'eau."
22213.02,"Techniciens en arpentage effectuent des levés ou y participent afin de déterminer l'emplacement exact et la position relative des éléments naturels et autres structures à la surface de la terre, sous la terre et sous l'eau."
22214.01,"Les technologues et les techniciens en cartographie préparent et révisent des cartes et des graphiques à partir des photographies, des manuscrits, de notes d'arpentage et d'autres cartes."
22214.02,"Les technologues et les techniciens en photogrammétrie coordonnent la préparation de cartes topographiques, de graphiques et de matériel connexe à partir de photographies aériennes et d'autres données."
22214.03,Les technologues et les techniciens en levés aériens utilisent du matériel de télédétection et interprètent des photographies aériennes.
22214.04,"Les technologues et les techniciens en systèmes d'information géographique utilisent des systèmes informatisés pour modéliser et gérer des données géospatiales et préparer des rapports géographiques, des cartes et des graphiques."
22214.05,"Les techniciens et les technologues en météorologie observent les éléments du temps et les conditions atmosphériques, consignent, interprètent, transmettent et rédigent des rapports de données météorologiques aux industries agricoles, ressources naturelles, à l'industrie du transport et au grand public."
22220.01,"Les opérateurs en informatique et les opérateurs de réseau établissent, exploitent, assurent l'entretien et coordonnent des réseaux locaux d'entreprise ou des réseaux étendus (RLE et RE), des réseaux d'ordinateurs centraux, du matériel, des logiciels et équipements informatiques liés. Les superviseurs des opérateurs en informatique et des opérateurs de réseau sont inclut dans cette profession."
22220.02,Les techniciens Web mettent en place des sites Web Internet et intranet et du matériel et des logiciels de serveurs Web et en assurent l'entretien. Ils supervisent et optimisent la connectivité de réseau et la performance du réseau. Les superviseurs des techniciens Web sont inclut dans cette profession.
22221.00,"Les agents de soutien aux utilisateurs fournissent une assistance technique de première ligne aux utilisateurs d'ordinateurs éprouvant des difficultés avec le matériel informatique, les applications informatiques et les logiciels de communication."
22222.00,Les évaluateurs de systèmes informatiques exécutent des scripts d'essai pour évaluer la performance des applications logicielles et des systèmes d'information et de télécommunication.
22230.00,"Les vérificateurs et inspecteurs des essais non destructifs utilisent des appareils d'essai radiographiques et ultrasonores, des liquides pénétrants, des particules magnétiques, des courants de Foucault et autres appareils pour déceler les discontinuités dans des produits de composition et de matériel différents."
22231.01,Les inspecteurs des anomalies des véhicules motorisés font l'inspection d'automobiles et de camions afin d'assurer leur conformité aux normes et aux règlements du gouvernement et de l'industrie.
22231.02,Les enquêteurs d'accidents ferroviaires font les enquêtes qui s'imposent à la suite d'accidents ferroviaires afin d'en déterminer les causes et font l'inspection des installations et de l'équipement ferroviaires afin d'assurer leur conformité aux normes et aux règlements.
22231.03,"Les inspecteurs examinent les aéronefs et les instruments, les procédés et l’équipement  afin d'assurer leur conformité aux normes et aux règlements gouvernementaux et industriels."
22231.04,"Les inspecteurs des poids et mesures font l'inspection d'appareils de pesage et de mesure tels que les balances, les bascules et les compteurs ainsi que des appareils, des instruments et des procédés industriels afin d'assurer leur conformité aux normes et aux règlements du gouvernement et de l'industrie."
22231.05,"Les vérificateurs d'appareils de forage de pétrole et de gaz vérifient les opérations, l'équipement et les processus de forage intra et extracôtières pour assurer le respect des règlements et des politiques, et pour recommander des améliorations et des mesures correctives."
22232.00,"Les spécialistes de l'hygiène et de la sécurité au travail examinent, évaluent et contrôlent les dangers pour la santé et la sécurité et élaborent des stratégies pour prévenir, contrôler et éliminer les accidents et les lésions professionnelles en milieu de travail. Ils inspectent les milieux de travail afin d’assurer leur conformité avec les normes de santé et sécurité dictées par les entreprises et les gouvernements."
22233.00,"Les inspecteurs en construction inspectent la construction et l'entretien des bâtiments neufs ou existants, des ponts, des routes et des installations industrielles afin d'assurer la conformité aux devis descriptifs et aux codes de la construction et veillent à la sécurité des chantiers."
22300.01,"Les technologues en génie civil assurent un soutien et des services techniques aux scientifiques, aux ingénieurs et autres professionnels."
22300.02,"Les techniciens en génie civil assurent un soutien et des services techniques aux scientifiques, aux ingénieurs et autres professionnels."
22301.01,"Les technologues en génie mécanique assurent un soutien et des services techniques ou peuvent travailler indépendamment dans le domaine du génie mécanique tel que la conception, l'élaboration, l'entretien et la mise à l'essai de machines, de pièces, d'outils, d'installations de chauffage et de ventilation, de centrales d’énergie géothermique, de centrales d'énergie et d'installations de conversion de l'énergie, de manufactures et de matériel divers."
22301.02,"Les techniciens en génie mécanique assurent un soutien et des services techniques ou peuvent travailler indépendamment dans le domaine du génie mécanique tel que la conception, l'élaboration, l'entretien et la mise à l'essai de machines, de pièces, d'outils, d'installations de chauffage et de ventilation, de centrales d’énergie géothermique, de centrales d'énergie et d'installations de conversion de l'énergie, de manufactures et de matériel divers."
22302.01,"Les technologues en génie industriel et en génie de fabrication peuvent travailler indépendamment ou offrir de l'aide et des services techniques pour l'élaboration des méthodes, des installations et des systèmes de production et contribuer à la planification, à l'évaluation, à la mesure et à l'organisation du travail."
22302.02,"Les techniciens en génie industriel et en génie de fabrication peuvent travailler indépendamment ou offrir de l'aide et des services techniques pour l'élaboration des méthodes, des installations et des systèmes de production et contribuer à la planification, à l'évaluation, à la mesure et à l'organisation du travail."
22303.00,"Les estimateurs en construction analysent les coûts et préparent les évaluations des projets de génie civil, d'architecture ou de construction électrique, mécanique ou structurale."
22310.01,"Les technologues en génie électronique et électrique peuvent travailler indépendamment ou assurer un soutien et des services techniques en matière de conception, de mise au point, d'essai, de production et d'exploitation du matériel et des systèmes électriques et électroniques."
22310.02,"Les techniciens en génie électronique et électrique peuvent travailler indépendamment ou assurer un soutien et des services techniques en matière de conception, de mise au point, d'essai, de production et d'exploitation du matériel et des systèmes électriques et électroniques."
22311.00,"Les électroniciens d'entretien font l'entretien et la réparation de matériel électronique utilisé par le grand public et des établissements commerciaux, tels que des systèmes audio et vidéo, des ordinateurs et des périphériques, du matériel de bureau et d'autre matériel et équipement électroniques."
22312.00,"Les techniciens et les mécaniciens d'instruments industriels réparent, entretiennent, étalonnent, règlent et posent des instruments industriels de contrôle et de mesure."
22313.01,"Les mécaniciens et les techniciens d'instruments d'aéronefs installent, ajustent, réparent, révisent et mettent à l'essai des composants de moteurs, de navigation et d'instruments gyroscopiques et d'instruments d'appareillage servant à mesurer et à indiquer des caractéristiques physiques telles que l'altitude, la vitesse anémométrique, la température et la pression."
22313.02,"Les mécaniciens et les techniciens en équipement électriques d'aéronef installent, réparent et révisent les systèmes et l'équipement électriques des aéronefs."
22313.03,"Les mécaniciens et techniciens en avionique modifient, réparent et révisent les systèmes électroniques des aéronefs."
22313.04,"Les inspecteurs en avionique vérifient les instruments, les appareillages électriques et les systèmes avioniques à la suite du montage, de modifications, de réparations ou de révisions."
30010.00,"Les directeurs des soins de santé planifient, organisent, dirigent, contrôlent et évaluent la prestation des services des soins de santé tels que le diagnostic et le traitement et les soins infirmiers et thérapeutiques dans des établissements assurant la prestation des soins de santé et d'autres établissements."
31100.01,"Les anesthésiologistes administrent des anesthésiques avant, pendant ou après une intervention chirurgicale ou d'autres procédures médicales."
31100.02,"Les Internistes, généralistes diagnostiquent et fournissent des traitements non chirurgicaux pour les maladies et les lésions des systèmes d’organes internes."
31100.03,"Les pédiatres, généralistes diagnostiquent, traitent et aident à prévenir les maladies et les blessures des enfants."
31100.04,"Les psychiatres diagnostiquent et traitent les maladies psychiatriques, et exercent des fonctions de consultant auprès des autres médecins."
31100.05,"Les allergologues et immunologistes diagnostiquent, traitent et aident à prévenir les maladies allergiques et les processus pathologiques affectant le système immunitaire."
31100.06,"Les hospitalistes gèrent, coordonnent et fournissent des soins aux patients hospitalisés principalement dans des environnements tels que les services médicaux, les unités de soins intensifs, les centres de réadaptation ou les salles d'urgence."
31100.07,"Les neurologues diagnostiquent, traitent et aident à prévenir les maladies et les troubles du système nerveux impliquant le cerveau et la moelle épinière ainsi que d'autres troubles nerveux et musculaires."
31100.08,"Les médecins de médecine nucléaire diagnostiquent et traitent les maladies en utilisant des matériaux radioactifs. Peut surveiller la préparation, l'administration et l'élimination des radionucléides."
31100.09,"Les médecins de médecine nucléaire diagnostiquent, traitent et aident à prévenir les maladies ou autres problèmes de la peau."
31100.10,"Les médecins de médecine physique et de réadaptation diagnostiquent et traitent les troubles nécessitant une physiothérapie pour assurer la réadaptation physique, mentale et professionnelle."
31100.11,"Les médecins de médecine préventive appliquent les connaissances de la médecine préventive générale et des questions de santé publique pour promouvoir les soins de santé auprès de groupes ou d'individus, et contribuent à la prévention ou à la réduction des risques de maladie, de blessure, d'invalidité ou de décès."
31100.12,Les radiologues examinent et diagnostiquent les troubles et les maladies à l'aide de rayons X et de matériaux radioactifs.
31100.13,"Les autres spécialistes en médecine clinique diagnostiquent et traitent les maladies et les troubles physiologiques ou psychiatriques, prescrivent des médicaments et des traitements, et dirigent les patients au service de chirurgie."
31100.14,"Les spécialistes en médecine de laboratoire, y compris les pathologistes, diagnostiquent la présence et le stade des maladies en utilisant des techniques de laboratoire et des échantillons des patients. Ils étudient la nature, la pathogenèse et l'évolution des maladies chez les humains, ainsi que les changements structurels et fonctionnels causés par les maladies."
31101.01,"Les chirurgiens généraux traitent les maladies, les blessures et les difformités en pratiquant des interventions chirurgicales."
31101.02,"Les obstétriciens et gynécologues diagnostiquent, traitent et aident à prévenir les maladies des femmes, en particulier celles qui affectent le système reproductif."
31101.03,"Les ophtalmologistes diagnostiquent, traitent et aident à prévenir les maladies et les blessures des yeux et des structures connexes."
31101.04,"Les urologues diagnostiquent, traitent et aident à prévenir les troubles médicaux et chirurgicaux bénins et malins du système génito-urinaire et des glandes rénales."
31101.05,Les autres spécialistes en chirurgie évaluent les maladies ou les troubles afin de déterminer quelles seront les procédures chirurgicales appropriées et effectuent des interventions chirurgicales pour corriger les anormalités et les déficiences physiques et réparer les blessures.
31102.00,"Les omnipraticiens et les médecins en médecine familiale diagnostiquent et traitent les maladies, les troubles physiologiques et les traumatismes de l'organisme humain. Ils sont des professionnels de la santé de première ligne et ils dispensent des soins de santé aux patients. Ce groupe de base comprend les résidents qui suivent une formation d'omnipraticien ou de médecin en médecine familiale."
31103.00,"Les vétérinaires préviennent, diagnostiquent et traitent les maladies et les infections chez les animaux et renseignent les clients sur l'élevage, l'alimentation, l'hygiène et le soin des animaux. Ils peuvent aussi pratiquer des interventions chirurgicales."
31110.01,"Les dentistes diagnostiquent, soignent, préviennent et contrôlent les maladies des dents et de la bouche."
31110.02,Les chirurgiens buccaux et maxillo-faciaux effectuent des interventions chirurgicales pour préparer la bouche à recevoir des implants dentaires ou pour aider à la régénération des tissus osseux et gingivaux déficients.
31110.03,"Les orthodontistes examinent et diagnostiquent les anomalies des dents, de la mâchoire ou d'autres anomalies dentaires et faciales, proposent des traitements orthodontiques et installent des appareils dentaires dans la bouche des patients pour modifier la position et la relation des dents et des mâchoires."
31110.04,"Les prosthodontistes examinent les dents, les gencives et les mâchoires du patient pour diagnostiquer les maladies, les blessures et les caries, proposent des traitements pour améliorer l'esthétique dentaire et facial et remplacent des dents manquantes et les structures buccales associées par des dispositifs permanents, tels que des prothèses sur implants."
31111.00,"Les optométristes examinent les yeux des patients pour évaluer et diagnostiquer les maladies et les troubles oculaires. Ils prescrivent et ajustent des lunettes ou des lentilles cornéennes, et recommandent des traitements tels que des exercices pour corriger les problèmes de vision ou les troubles oculaires."
31112.01,"Les audiologistes diagnostiquent, évaluent et traitent les personnes atteintes d'une perte auditive périphérique ou centrale, d'acouphène ou d'un trouble de l'équilibre. Cette profession comprend les audiologistes qui sont également superviseurs."
31112.02,"Les orthophonistes diagnostiquent, évaluent et traitent les troubles de la communication humaine, dont les troubles de la parole, de la fluidité, du langage, de la voix et de la déglutition. Cette profession comprend les orthophonistes qui sont également superviseurs."
31120.01,"Les pharmaciens communautaires et les pharmaciens d'hôpitaux remplissent les ordonnances, vendent les médicaments et offrent un service de consultation aux clients et aux professionnels de la santé."
31120.02,"Les pharmaciens industriels participent à la recherche, au développement, à la promotion et à la fabrication de produits pharmaceutiques."
31121.00,"Les diététistes et les nutritionnistes évaluent les questions liées à la nutrition des individus et des groupes, élaborent, mettent en œuvre et évaluent des plans de soins nutritionnels pour prévenir, traiter et contrôler les maladies. Ils gèrent les systèmes de services alimentaires et nutritionnels et planifient des programmes de promotion de la santé."
31200.00,"Les psychologues évaluent et diagnostiquent les troubles comportementaux, émotionnels et cognitifs de leurs clients, leur donnent des conseils et les traitent. Ils effectuent aussi des recherches et mettent en pratique des théories relatives au comportement et aux processus mentaux. Les psychologues aident leurs clients à acquérir des moyens de maintenir ou d'améliorer leur fonctionnement psychologique, physique, intellectuel, émotif, social et interpersonnel."
31201.00,"Les chiropraticiens évaluent, diagnostiquent, traitent et préviennent les troubles neuromusculosquelettiques liés à la colonne vertébrale, au système nerveux, au bassin et aux autres articulations du corps, en utilisant des manipulations correctives, y compris des ajustements de la colonne vertébrale, ou d'autres thérapies complémentaires."
31202.00,"Les physiothérapeutes évaluent l'état des clients et planifient et exécutent des programmes de traitement conçus individuellement pour maintenir, améliorer ou rétablir le bien-être physique et la mobilité des clients, soulager leur douleur et prévenir leur incapacité physique."
31203.00,"Les ergothérapeutes élaborent des programmes individuels ou de groupe à l'intention des personnes qui souffrent de maladies, de blessures, de troubles de développement, de problèmes émotifs ou psychologiques, ou qui vieillissent dans le but d'entretenir, de restaurer ou d'améliorer leur capacité à s'occuper d'elles-mêmes et à travailler, à fréquenter l'école ou à s'adonner à des loisirs. De plus, ils élaborent et mettent en oeuvre des programmes de promotion de la santé en collaboration avec des particuliers, des groupes communautaires et des employeurs."
31204.01,"Les thérapeutes par les loisirs mettent en œuvre les plans d'intervention en dirigeant des séances spécialisées à l'aide d'approches et de techniques de thérapie par les jeux, les sports ou autres formes de thérapie par le mouvement."
31204.02,"Les kinésiologues et spécialistes en mécanothérapie effectuent des tests et des évaluations de la condition physique et du mouvement. Ils créent et élaborent des programmes d'activités physiques destinés à entretenir, à restaurer ou à améliorer le mouvement et la performance dans le domaine des sports, des loisirs, du travail et de l'exercice."
31209.01,"Les docteurs en médecine podiatrique diagnostiquent et traitent les maladies, les difformités et les blessures du pied humain."
31209.02,"Les podologues et podiatres diplômés ou diplômés du premier degré traitent les maladies, les difformités et les blessures du pied humain."
31209.03,Docteurs en médecine naturopathique utilisent des méthodes curatives naturelles pour traiter les maladies et les troubles des patients.
31209.04,"Les docteurs en ostéopathie diagnostiquent et traitent les troubles et les blessures des systèmes musculo-squelettiques, circulatoire et nerveux."
31300.00,"Les coordonnateurs et les superviseurs des soins infirmiers coordonnent et supervisent le travail des infirmiers autorisés, des infirmiers psychiatriques autorisés, des infirmiers auxiliaires et de tout autre personnel des soins infirmiers dans la prestation des soins aux patients."
31301.01,"Les infirmiers autorisés en soins généraux dispensent des soins infirmiers aux patients, offrent des programmes d'éducation en soins de la santé et fournissent des services consultatifs concernant des questions relatives à l'exercice en sciences infirmières."
31301.02,Les infirmiers en santé du travail sont des infirmiers autorisés qui élaborent et mettent en œuvre des programmes d'éducation sur la santé pour les employés et dispensent des soins infirmiers dans les entreprises et les industries.
31301.03,Les infirmiers en santé communautaire sont des infirmiers autorisés qui donnent de la formation en soins de santé et dispensent directement des soins infirmiers dans les centres de santé publique ou à domicile.
31301.04,"Les infirmiers psychiatriques autorisés sont des infirmiers autorisés qui prodiguent des soins directs, du counseling et donnent des cours de dynamique de la vie aux patients."
31301.05,Les consultants en soins infirmiers et chercheurs infirmiers en sciences infirmières dispensent des services consultatifs sur les questions et les préoccupations relatives à la pratique des soins infirmiers et s'engagent dans des activités de recherche sur les questions touchant la pratique des sciences infirmières.
31301.06,"Les infirmiers cliniciens sont des infirmiers autorisés qui fournissent du leadership, des conseils et de l'orientation sur la prestation de soins basés sur la recherche à des groupes précis de patients dont les soins relèvent d'organisations de soins de santé particulières."
31302.00,"Les infirmiers praticiens sont des infirmiers diplômés ayant une formation complémentaire, des connaissances et une expérience approfondies en matière de soins infirmiers et une spécialité de la pratique. Ils fournissent une gamme de services de santé et dispensent des soins préventifs et continus aux patients dans le but de maintenir leur santé. Les infirmiers praticiens travaillent conjointement avec les médecins et en collaboration avec d'autres collègues infirmiers et prestataires de soins de santé, ou ils peuvent travailler de manière indépendante. Les infirmiers praticiens peuvent se spécialiser dans les soins de santé primaires ou les soins de courte durée."
31303.01,Les adjoints au médecin fournissent une gamme de services de santé et dispensent des soins continus et préventifs aux patients dans le but de maintenir leur santé.
31303.02,Les sages-femmes donnent des soins complets aux femmes et à leurs bébés au cours de la grossesse et de la période post-natale.
31303.03,"Les conseillers en génétique évaluent le risque individuel ou familial de maladies génétiques et fournissent des informations aux individus, aux familles et aux prestataires de soins de santé afin de promouvoir un choix éclairé."
31303.04,Les orthoptistes diagnostiquent et traitent les troubles binoculaires.
31303.05,"Les assistants en pathologie assistent aux autopsies et aux examens de spécimens chirurgicaux, ou effectuent des autopsies sous la supervision d'un pathologiste."
32100.00,"Les opticiens d'ordonnances aident leurs clients à choisir une monture de lunette, prennent les mesures nécessaires, organisent la production de lunettes ou de lentilles cornéennes, fixent les verres aux montures de lunette et ajustent des lunettes ou des lentilles cornéennes pour les clients. Les étudiants en optique et les opticiens directeurs de points de vente au détail sont compris dans ce groupe de base."
32101.01,"Les infirmiers auxiliaires administrent des soins infirmiers aux patients, habituellement sous la supervision des médecins, des infirmiers autorisés ou d'autres membres de l'équipe de santé."
32101.02,Les techniciens de salle d’opération préparent les patients et assistent les médecins praticiens avant et pendant les chirurgies.
32102.00,Les ambulanciers et le personnel paramédical donnent des soins d'urgence pré-hospitaliers aux patients blessés ou malades et les transportent aux centres hospitaliers ou vers d'autres centres médicaux pour des soins plus poussés. Ce groupe de base comprend également les membres du personnel ambulancier et paramédical qui agissent en tant que superviseurs.
32103.01,"Les inhalothérapeutes aident les médecins à évaluer, à diagnostiquer, à traiter et à soigner les patients souffrant de troubles respiratoires et cardiopulmonaires. Cette profession comprend les superviseurs et les formateurs en inhalothérapie."
32103.02,"Les perfusionnistes cardiovasculaires fournissent une aide technique aux patients qui subissent une chirurgie cardiaque, ainsi qu'aux patients qui ont besoin de support respiratoire ou circulatoire. Cette profession comprend les superviseurs et les formateurs en perfusion cardiovasculaire."
32103.03,Les technologues cardiopulmonaires aident les médecins en ce qui a trait aux aspects techniques du diagnostic et du traitement des maladies cardiopulmonaires et respiratoires. Cette profession comprend les superviseurs et les formateurs technologie cardiopulmonaire.
32104.00,"Les technologues en santé animale et les techniciens vétérinaires apportent une aide technique aux vétérinaires dans les soins de santé animale, le diagnostic et le traitement des troubles de santé chez les animaux. Les technologues en santé animale et les techniciens vétérinaires qui occupent des postes de supervision sont compris dans ce groupe de base."
32109.01,Les audioprothésistes dispensent de la thérapie technique et assument des fonctions d'évaluation pour aider les audiologistes.
32109.02,Les aides-orthophonistes et les assistants en troubles de la communication aident les orthophonistes à dispenser les programmes de thérapie.
32109.03,Les technologues et techniciens/techniciennes médicaux en ophtalmologie aident les ophtalmologistes à effectuer des procédures et des opérations
32109.04,"Les thérapeutes en réadaptation physique élaborent, mettent en œuvre et surveillent les plans de traitement des clients en collaboration avec le physiothérapeute ou le médecin."
32109.05,Les assistants en physiothérapie et en ergothérapie aident les physiothérapeutes et les ergothérapeutes à traiter les patients blessés ou ayant une déficience physique.
32110.00,"Les denturologistes examinent les patients et conçoivent, fabriquent et réparent des prothèses dentaires amovibles."
32111.01,Les hygiénistes dentaires assurent un traitement d'hygiène dentaire et fournissent des services reliés à la promotion de la santé bucco-dentaire ainsi qu’à la prévention des maladies et affections des dents et de la bouche.
32111.02,Les thérapeutes dentaires remplissent des fonctions limitées dans le domaine de la médecine dentaire visant la restauration dentaire en plus de services d’hygiène dentaire.
32112.00,"Les technologues et techniciens dentaires conçoivent, préparent et fabriquent les dentiers et les prothèses dentaires prescrits par les dentistes et d'autres spécialistes."
32120.00,"Les technologues de laboratoires médicaux effectuent des tests de laboratoire médical, des expériences et des analyses pour faciliter le diagnostic, le traitement, la surveillance et la prévention des maladies. Ce groupe de base comprend les technologistes médicaux qui sont également superviseurs."
32121.01,"Les technologues en radiologie se servent d'appareils de radiographie et de radiothérapie afin d'administrer des rayons ionisants et d'obtenir des clichés des structures de l'organisme, pour diagnostiquer et traiter les lésions et les maladies. Cette profession comprend les technologues en radiation médicale qui agissent en tant que superviseurs ou instituteurs cliniques."
32121.02,Les technologues en médecine nucléaire se servent d'appareils de radiothérapie afin d'administrer des rayons ionisants et d'obtenir des clichés des structures de l'organisme pour diagnostiquer les maladies. Les superviseurs et les instructeurs cliniciens sont inclut dans cette profession.
32121.03,Les technologues en radio-oncologie font fonctionner des appareils de radiothérapie pour administrer des traitements de radiothéraphie. Les superviseurs et les instructeurs cliniciens sont inclut dans cette profession.
32121.04,Les technologues en résonance magnétique utilisent des appareils d’imagerie par résonance magnétique pour produire des images anatomiques du corps humain pour permettre au radiologiste de diagnostiquer la maladie ou la lésion. Les superviseurs et les instructeurs cliniciens sont inclut dans cette profession.
32122.00,"Les technologues en échographie utilisent des appareils qui produisent et enregistrent des images de diverses parties du corps, afin d'aider les médecins à surveiller les grossesses et à diagnostiquer les problèmes cardiaques, ophtalmiques, vasculaires et les autres troubles de la santé. Les technologues en échographie qui exercent des fonctions de superviseur ou de formateur sont inclus dans ce groupe de base."
32123.01,"Les technologues en cardiologie utilisent des électrocardiogrammes et des technologies d'imagerie médicale pour enregistrer l'activité cardiaque des patients afin d'aider au diagnostic, à la surveillance et au traitement des maladies cardiaques. Les technologues en cardiologie qui exercent des fonctions de superviseur ou de formateur sont inclut dans cette profession."
32123.02,"Les technologues en électrophysiologie diagnostique utilisent des appareils d'électroencéphalographie, d'électromyographie et d'autres appareils électrophysiologique de diagnostic afin d'aider les médecins à diagnostiquer les maladies, les lésions et les anomalies. Les technologues en électrophysiologie diagnostique qui exercent des fonctions de superviseur ou de formateur sont inclut dans cette profession."
32124.00,"Les techniciens en pharmacie exercent des fonctions techniques liées aux ordonnances, notamment la collecte de renseignements concernant les patients, la préparation des produits, la distribution des produits et le contrôle des inventaires. Les techniciens en pharmacie exercent des fonctions techniques liées aux ordonnances, notamment la collecte de renseignements concernant les patients, la préparation des produits, la distribution des produits et le contrôle des inventaires."
32129.01,Les techniciens en diététique aident les diététiciens et les nutritionnistes à planifier et à superviser les opérations des services d'alimentation.
32129.02,"Les ocularistes conçoivent, fabriquent et ajustent les prothèses oculaires."
32129.03,"Les prothésistes et les orthésistes créent, fabriquent, ajustent et réparent des appareils prothétiques et orthopédiques."
32129.04,"Les techniciens prothésistes et les techniciens orthésistes assemblent, fabriquent et réparent des appareils prothétiques et orthopédiques."
32200.01,Les praticiens de la médecine chinoise sont des praticiens des traitements naturels qui fournissent aux patients une méthode alternative de soins de santé.
32200.02,Les acupuncteurs sont des praticiens des traitements naturels qui fournissent aux patients une méthode alternative de soins de santé.
32201.00,"Les massothérapeutes évaluent le tissu mou et les articulations du corps en vue de traiter et de prévenir les dysfonctionnements, les blessures, les douleurs et les troubles physiques."
32209.01,Les herboristes sont des praticiens des traitements naturels qui fournissent aux patients une méthode alternative de soins de santé.
32209.02,"Les praticiens en médecine ostéopathique manuelle évaluent, traitent et gèrent les troubles musculo-squelettiques et les autres troubles connexes reliés à la structure du corps."
32209.03,Les homéopathes sont des praticiens des traitements naturels qui fournissent aux patients une méthode alternative de soins de santé.
32209.04,Les réflexologues sont des praticiens des traitements naturels qui fournissent aux patients une méthode alternative de soins de santé.
32209.05,Les nutritionnistes holistiques évaluent l'état général de santé et de bien-être des clients et recommandent des ajustements nutritionnels et de style de vie pour répondre aux problèmes de santé des clients et soutenir leurs objectifs de santé.
32209.06,"Les naturothérapeutes évaluent et traitent les maladies et les blessures en utilisant des approches holistiques telles que les herbes médicinales, les massages, ainsi que des conseils en nutrition et en exercice."
33100.01,"Les assistants dentaires aident le dentiste, l'hygiéniste dentaire et le thérapeute dentaire durant les examens et les traitements dispensés aux patients et ils exécutent des tâches de bureau."
33100.02,Les auxiliaires dans les laboratoires dentaires aident les technologues et les techniciens dentaires à préparer et à fabriquer des prothèses et autres appareils dentaires. Les auxiliaires dans les laboratoires dentaires travaillent dans des laboratoires dentaires.
33101.00,"Les assistants de laboratoires médicaux et préposés/préposées techniques reliés exécutent des tâches de pré-analyse et de pré-test telles que la recueille de sang et d'autres échantillons, le traitement des spécimens et la préparation de produits chimiques spéciaux appelés réactifs à utiliser dans les tests. Ils effectuent des tests courants de laboratoire et règlent, nettoient et entretiennent le matériel de laboratoire médical."
33102.00,"Les aides-infirmiers, les aides-soignants et les préposés aux bénéficiaires aident le personnel infirmier et hospitalier ainsi que les médecins dans les soins de base aux patients."
33103.00,Les assistants techniques en pharmacie effectuent des tâches techniques liées à la préparation des médicaments sous la supervision d'un pharmacien. Ils participent également à l'exécution des ordonnances et à la gestion des dossiers des patients. Les assistants en pharmacie effectuent des tâches de bureau et assistent les pharmaciens et les techniciens en pharmacie dans leurs tâches de distribution de médicaments.
33109.01,"Les techiciens en audiométrie effectuent des tests de dépistage aux sons purs, des essais d'impédance et des mesures du niveau de bruit en se servant d'équipement comme des audiomètres et des sonomètres pour déterminer le seuil auditif des patients."
33109.02,Les technologues en orthopédie aident les chirurgiens en orthopédie dans le traitement des maladies et des blessures orthopédiques.
33109.03,Les aides en réadaptation préparent et entretient le matériel et les fournitures et fournissent de l'aide et des services aux professionnels et autres intervenants dans le domaine de la santé lors des activités liées à la réadaptation des patients.
