Code de profil professionnel SIPeC,Exigences d'emploi
31101.05,Une résidence de cinq à six ans dans une spécialité est exigée.
31101.05,Une formation de deux ans dans une sous-spécialisation peut être exigée.
31102.00,"Un baccalauréat ou au Québec, un programme d'études collégiales et une année préparatoire aux études médicales sont habituellement exigés."
31102.00,Un diplôme d'une faculté de médecine reconnue et deux à trois ans de résidence en médecine familiale sont exigés.
31102.00,La réussite aux examens du Conseil médical du Canada ou du Collège des médecins du Québec et un permis d'exercice provincial ou territorial sont exigés.
31103.00,Docteur en médecine vétérinaire
31103.00,Deux ans d'études universitaires en sciences ou un diplôme d'études collégiales en sciences de la santé etun baccalauréat en médecine vétérinaire de quatre à cinq ansetla réussite d'un examen conduisant à un certificat national sont exigés.
31103.00,Un permis d'exercice provincial est exigé.
31103.00,Vétérinaires spécialistes
31103.00,Un diplôme en médecine vétérinaire ainsi que trois à quatre années d’études postdoctorales supplémentaires ou un programme de résidence dans la spécialité de leur choix sont exigés.
31103.00,"Les vétérinaires spécialistes doivent être agréés par l’American College of Veterinary Internal Medicine (ACVIM) ou l’American Board of Veterinary Practitioners (ABVP). Au Québec, ils doivent être agréés par l’Ordre des médecins vétérinaires du Québec et seulement 18 spécialités sont reconnues"
31103.00,Vétérinaire en recherche
31103.00,Deux ans d'études universitaires en sciences ou un diplôme d'études collégiales en sciences de la santé et un baccalauréat en médecine vétérinaire de quatre à cinq ans et la réussite d'un examen conduisant à un certificat national sont exigés.
31103.00,Les emplois au niveau de la recherche peuvent exiger une maîtrise ou un doctorat.
31110.01,"De deux à quatre ans d'études universitaires pré-dentaire ou, au Québec, il est possible d'être admis au programme de médecine dentaire avec un diplôme d'études collégiales en science etun baccalauréat en médecine dentaire sont exigés."
31110.01,Un permis d'exercice provenant d'un organisme de réglementation provincial ou territorial est exigé.
31110.01,Une formation supplémentaire permet aux dentistes généralistes d'accéder à un domaine spécialisé.
31110.02,"De deux à quatre ans d'études universitaires pré-dentaire ou, au Québec, il est possible d'être admis au programme de médecine dentaire avec un diplôme d'études collégiales en science"
31110.02,De quatre à sept ans de résidence spécialisée en chirurgie buccale et maxillo-faciale sont exigés.
31110.03,"De deux à quatre ans d'études universitaires pré-dentaire ou, au Québec, il est possible d'être admis au programme de médecine dentaire avec un diplôme d'études collégiales en science etun baccalauréat en médecine dentaire sont exigés."
31110.03,Un programme d'orthodontie et d'orthopédie dento-faciale avancé de trois ans accrédité par l'Association dentaire canadienne est exigé.
31110.04,"De deux à quatre ans d'études universitaires pré-dentaire ou, au Québec, il est possible d'être admis au programme de médecine dentaire avec un diplôme d'études collégiales en science etun baccalauréat en médecine dentaire sont exigés."
31110.04,Un programme de prothèses avancé de trois ans accrédité par l'Association dentaire canadienne est exigé.
31111.00,"Trois ans d'études universitaires de premier cycle ou, au Québec, un programme d'études collégiales en sciences etun programme d'études universitaires de quatre à cinq ans en optométrie sont exigés."
31111.00,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé.
31112.01,Une maîtrise en audiologie est exigée des audiologistes.
31112.01,"L'appartenance à l'association nationale, l'Association canadienne des orthophonistes et audiologistes, est habituellement exigée."
31112.01,"Dans certaines juridictions, un permis d'exercice peut être exigé des audiologistes afin de vendre des appareils audiométriques."
31112.02,Une maîtrise en orthophonie est exigée des orthophonistes.
31112.02,"Un permis d'exercice provincial est exigé des audiologistes et des orthophonistes à Terre-Neuve-et-Labrador, au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba, en Saskatchewan, en Alberta et en Colombie-Britannique."
31112.02,"L'appartenance à l'association nationale, l'Association canadienne des orthophonistes et audiologistes, est habituellement exigée."
31120.01,Un diplôme universitaire en pharmacie et une formation pratique supervisée sont exigés.
31120.01,Un permis d'exercice est exigé dans toutes les provinces et territoires pour les pharmaciens en milieu communautaire et hospitalier.
31120.02,Un diplôme universitaire en pharmacie et une formation pratique supervisée sont exigés.
31120.02,Un permis d'exercice est exigé dans toutes les provinces et territoires pour les pharmaciens en milieu communautaire et hospitalier.
31121.00,"Un baccalauréat en diététique, en nutrition ou dans un domaine connexe tel que les sciences alimentaires et les sciences de la nutrition d'un programme accrédité par le Partenariat pour la formation et la pratique en nutrition (PFPN), et une période de formation pratique supervisée sont exigés."
31121.00,La réussite de l’Examen d’admission à la profession de diététiste au Canada (EAPDC) est exigé pour les diététistes dans toutes les provinces sauf Québec.
31121.00,Un permis d'exercice est exigé dans toutes les provinces pour les diététistes.
31121.00,"L'appartenance à l'association nationale, Les diététistes du Canada, est volontaire."
31121.00,"Un permis d'exercice est exigé pour les nutritionnistes en Nouvelle-Écosse, au Québec et en Alberta. Dans les autres provinces, les nutritionnistes peuvent exiger la même formation théorique et pratique que les diététistes."
31121.00,L'appartenance à l'organisme Les diététistes du Canada ou à l'organisme de réglementation provincial est possible pour les nutritionnistes qui possèdent la même formation universitaire et pratique que les diététistes.
31200.00,"Un doctorat en psychologie est exigé pour utiliser le titre de « psychologue » à l'Île-du-Prince-Édouard, au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba et en Colombie-Britannique."
31200.00,"Une maîtrise en psychologie est exigée pour utiliser le titre de « psychologue » à Terre-Neuve-et-Labrador, en Nouvelle-Écosse, en Saskatchewan, en Alberta, dans les Territoires du Nord-Ouest et au Nunavut."
31200.00,"Une maîtrise en psychologie est exigée pour utiliser le titre de « psychologue associé » à l'Île-du-Prince-Édouard, en Ontario, au Manitoba et en Colombie-Britannique."
31200.00,Un stage d'expérience pratique supervisé est exigé dans la plupart des provinces et territoires.
31200.00,La réussite à l'examen écrit Examination for Professional Practice in Psychology (EPPP) est exigée dans la plupart des provinces.
31200.00,Des épreuves orales ainsi que des entrevues en comité sont exigées dans certaines provinces.
31200.00,"L'appartenance à l'organisme de réglementation est exigée dans toutes les provinces, dans les Territoires du Nord-Ouest et au Nunavut."
31200.00,Des examens écrits d'éthique et de jurisprudence peuvent être exigés dans certaines juridictions.
31200.00,La formation et l'expérience permettent aux psychologues de se spécialiser dans un domaine en particulier.
31201.00,"Au moins trois années d'études universitaires de premier cycle ou, au Québec un diplôme d'études collégiales en sciences naturelles est exigé."
31201.00,Un programme agréé de docteur en chiropratique de quatre à cinq ans est exigé.
31201.00,La réussite des examens nationaux du Conseil canadien des examens chiropratiques  est nécessaire pour obtenir un permis d'exercice auprès d'un organisme provincial ou territorial.
31201.00,Un permis d'exercice délivré par un organisme de réglementation est exigé dans toutes les provinces ainsi qu'au Yukon.
31202.00,Une maîtrise en physiothérapie ainsi qu'un stage pratique supervisé sont exigés.
31202.00,Un permis d'exercice délivré par un organisme de réglementation est exigé dans toutes les provinces et territoires.
31202.00,La réussite d’un examen de compétence en physiothérapie est exigée dans toutes les provinces et territoires.
31203.00,"Un diplôme universitaire en ergothérapie, comprenant un stage supervisé, est exigé."
31203.00,La réussite d'un examen de certification national ou provincial est exigée.
31203.00,Un permis d'exercice délivré par un organisme de réglementation est exigé dans toutes les provinces et tous les territoires.
31203.00,"L'adhésion à l'association nationale, soit l'Association canadienne des ergothérapeutes, est exigée dans certaines provinces."
31203.00,Une formation complémentaire ou de l'expérience peut permettre aux ergothérapeutes d'acquérir une expertise dans un domaine précis.
31204.01,Un baccalauréat en récréologie avec une spécialisation en ludothérapie est habituellement exigé des ludothérapeutes.
31204.01,La certification des thérapeutes en loisirs est disponible auprès du Conseil national de certification en loisirs thérapeutiques.
31204.01,Une formation pratique sous surveillance dans le domaine de spécialisation est habituellement exigée pour les postes de ce groupe de base.
31204.01,Une accréditation ou l'appartenance à une association professionnelle nationale appropriée ou son homologue provincial peut être exigée.
31204.02,"Un baccalauréat de quatre ans en kinésiologie, en éducation physique ou en cinétique humaine est exigé des kinésiologues."
31204.02,Il est possible d'obtenir l'agrément auprès de l'Alliance canadienne de kinésiologie.
31204.02,Un permis d'exercice d'un organisme de réglementation est exigé pour les kinésiologues en Ontario.
31204.02,"Un baccalauréat de quatre ans en kinésiologie, physiologie de l'exercice, sciences de l'exercice ou cinétique humaine est habituellement exigée des physiologistes de l'exercice."
31204.02,La certification des physiologistes de l'exercice est offerte par la Société canadienne de physiologie de l'exercice.
31204.02,Un baccalauréat en thérapie du sport ouun diplôme en sciences de la santé avec une spécialisation en gestion des blessures sportives est exigé des thérapeutes du sport.
31204.02,La certification des thérapeutes du sport est disponible auprès de l'Association canadienne des thérapeutes du sport.
31204.02,Une formation pratique sous surveillance dans le domaine de spécialisation est habituellement exigée pour les postes de ce groupe de base.
31204.02,Une accréditation ou l'appartenance à une association professionnelle nationale appropriée ou son homologue provincial peut être exigée.
31209.01,"Un programme de quatre ans menant à un doctorat en médecine podiatrique offert au Québec et aux États-Unis, normalement après avoir obtenu un baccalauréat est exigé."
31209.01,Une période de formation médicale (résidence) est exigée en Alberta et en Colombie-Britannique.
31209.01,"Un doctorat en médecine podiatrique est exigé des docteurs en médecine podiatrique au Québec, en Ontario, en Alberta et en Colombie-Britannique."
31209.02,Un programme de trois ans menant à un diplôme avancé en podologie (DCh) au Canadaouun programme menant à un diplôme de premier cycle en médecine podiatrique (D.Pod.M.) à l'étranger (Royaume-Uni) est habituellement exigé.
31209.02,"Un permis d'exercice est exigé au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba, en Saskatchewan, en Alberta et en Colombie-Britannique."
31209.03,Un diplôme universitaire de premier cycle en sciences est exigé.
31209.03,Un programme d'études universitaires en naturopathie offert à l'étranger ouun programme de quatre ans en naturopathie offert par un institut privé est exigé.
31209.03,"Un permis d'exercice est exigé en Nouvelle- Écosse, en Ontario, au Manitoba, en Saskatchewan, en Alberta et en Colombie-Britannique."
31209.04,Un baccalauréat est exigé pour s'inscrire au programme de docteur en ostéopathie.
31209.04,"Un programme d'études de quatre ans en ostéopathie, menant au diplôme de docteur en ostéopathie, etune période de résidence d'un minimum de trois ans en milieu hospitalier sont exigés. Ces qualifications sont obtenues aux États-Unis."
31209.04,La réussite aux examens du Collège royal des médecins et chirurgiens du Canada etun permis d'exercice provincial ou territorial sont exigés.
31300.00,Un diplôme d'études universitaires ou collégiales ou un diplôme de tout autre programme reconnu en soins infirmiers ou en soins infirmiers psychiatriques est exigé.
31300.00,"Des cours en gestion, un diplôme ou un certificat en gestion ou en administration peuvent être exigés."
31300.00,"Un permis d'exercice d'un organisme de réglementation est exigé en tant qu'infirmier autorisé dans toutes les provinces et territoires et en tant qu'infirmier psychiatrique autorisé au Manitoba, en Saskatchewan, en Alberta, en Colombie-Britannique et au Yukon."
31300.00,De l'expérience clinique en tant qu'infirmier autorisé ou infirmier psychiatrique autorisé est exigée.
31301.01,"Un diplôme d'études universitaires ou collégiales, ou la réussite d'un autre programme reconnu en sciences infirmières est exigé."
31301.01,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires.
31301.02,"Un diplôme d'études universitaires ou collégiales, ou la réussite d'un autre programme reconnu en sciences infirmières est exigé."
31301.02,De l'expérience ou une formation supplémentaire est exigée pour pouvoir se spécialiser dans un domaine particulier des sciences infirmières.
31301.02,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires.
31301.03,"Un diplôme d'études universitaires ou collégiales, ou la réussite d'un autre programme reconnu en sciences infirmières est exigé."
31301.03,De l'expérience ou une formation supplémentaire est exigée pour pouvoir se spécialiser dans un domaine particulier des sciences infirmières.
31301.03,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires.
31301.04,Un programme de niveau collégial ou universitaire d'infirmier psychiatrique autorisé est exigé.
31301.04,"Un permis d'exercice est exigé au Manitoba, en Saskatchewan, en Alberta, en Colombie-Britannique et au Yukon."
31301.05,"Une maîtrise ou un doctorat en sciences infirmières est habituellement exigé des infirmiers cliniciens spécialisés, des infirmiers cliniciens, des consultants en soins infirmiers et des chercheurs en sciences infirmières."
31301.05,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires.
31301.06,"Une maîtrise ou un doctorat en sciences infirmières est habituellement exigé des infirmiers cliniciens spécialisés, des infirmiers cliniciens, des consultants en soins infirmiers et des chercheurs en sciences infirmières."
31301.06,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires.
31302.00,"Une maîtrise en sciences infirmières, ou la réussite d'un programme de soins infirmiers avec une formation additionnelle prolongée ou avancée en soins infirmiers de santé primaires, ainsi que plusieurs années d'expérience à titre d'infirmier autorisé sont habituellement exigés des infirmiers praticiens."
31302.00,Un permis d'exercice d'un organisme de réglementation provincial ou territorial est exigé dans toutes les provinces et tous les territoires pour porter le titre d'infirmier praticien.
31303.01,Un diplôme universitaire acquis dans le cadre d'un programme d'adjoint au médecin est exigé des adjoints au médecin.
31303.01,Un permis d'exercice d'un organisme de réglementation provincial est exigé pour les adjoints au médecin au Manitoba et au Nouveau-Brunswick.
31303.02,Une formation acquise dans le cadre d'un diplôme d'études universitaires de premier cycle en pratique sage-femme ou l'équivalent et une formation pratique supervisée sont exigées des sages-femmes.
31303.02,"Un permis d'exercice d'un organisme de réglementation provincial est exigé des sages-femmes en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba, en Saskatchewan, en Alberta, en Colombie-Britannique, dans les Territoires du Nord-Ouest et au Nunavut."
31303.03,Une maîtrise en conseil génétique ainsi que l’accréditation de l’Association Canadienne des Conseillers en génétique (ACCG) sont habituellement exigés des conseillers en génétique.
31303.04,Un diplôme universitaire de premier cycle et un programme de formation de deux ans reconnu en orthoptique sont exigés.
31303.04,Une accréditation par le Conseil canadien d'orthoptique est exigée.
31303.04,L'accréditation par le Conseil canadien d'orthoptique n'est renouvelable qu'après avoir suivi des cours de perfectionnement professionnel.
31303.05,Une maîtrise acquise dans le cadre d'un programme d'assistants de pathologistes est habituellement exigée des assistants en pathologie.
31303.05,"La certification par le Conseil canadien de certification des assistants en pathologie, l'American Society for Clinical Pathology - Board of Certification, ou l'examen de certification des assistants en pathologie est généralement exigée par les employeurs."
31303.05,"L'adhésion à l'association nationale, soit l'Association canadienne des pathologistes, est volontaire, mais peut être exigée par certains employeurs."
32100.00,Un diplôme d'études collégiales de deux ou trois ans en soins de l'optique ou des sciences optiques est exigé.
32100.00,Un permis d'exercice délivré par un organisme de réglementation pour les opticiens est exigé dans toutes les provinces.
32100.00,Les exigences de permis d'exercice pour le champ de pratique et pour les titres protégés liés à la vente ou la distribution et à l'ajustement  des verres de contact varient selon la province.
32101.01,Un diplôme d'études collégiales ou la réussite d'un programme de formation pratique ou d'un autre programme reconnu est exigé des infirmiers auxiliaires.
32101.01,L'adhésion à un organisme de réglementation est exigée dans toutes les provinces et tous les territoires.
32101.01,La réussite d'un examen professionnel est exigée dans toutes les provinces et tous les territoires.
32101.02,La réussite d'un examen professionnel est exigée dans toutes les provinces et tous les territoires.
32101.02,Une formation scolaire supplémentaire en techniques de salle d'opération est exigée des techniciens de salle d'opération.
32101.02,L'adhésion à un organisme de réglementation est exigée dans toutes les provinces et tous les territoires.
32102.00,"La réussite d'un programme d'une durée d'un à trois ans offert en milieu collégial ou hospitalier, ou la réussite d'un autre programme de formation reconnu en soins paramédicaux ou en techniques de soins médicaux d'urgence, est exigée."
32102.00,Un permis d'exercice délivré par un organisme de réglementation est exigé dans toutes les provinces.
32102.00,Un permis de classe appropriée est exigé des conducteurs de véhicules d'urgence.
32103.01,"Une formation collégiale de trois ans ou un diplôme universitaire spécialisé en inhalothérapie, tous les deux comprenant une formation clinique, est exigé des inhalothérapeutes."
32103.01,"Un permis d'exercice est exigé des inhalothérapeutes à Terre-Neuve-et-Labrador, en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba, en Saskatchewan ainsi qu'en Alberta."
32103.01,"Une certification nationale est disponible pour les inhalothérapeutes qui travaillent à l'Île-du-Prince-Édouard, en Colombie-Britannique, au Yukon, dans les Territoires du Nord-Ouest et au Nunavut."
32103.01,"Au Québec, une attestation est exigée des inhalothérapeutes pour prescrire des médicaments pour la cessation tabagique."
32103.02,"Un programme d'inhalothérapie ou de sciences infirmières, avec au moins un an d'expérience dans le métier, en tant qu'inhalothérapeute ou infirmier autorisé etla réussite d'un programme d'études collégiales ou universitaires en perfusion, comprenant une formation clinique, sont exigés des perfusionnistes cardiovasculaires."
32103.02,L'inscription à la Société canadienne de perfusion clinique est exigée des perfusionnistes cardiovasculaires.
32103.03,"Un diplôme collégial de deux ans dans un domaine connexe des soins de santé, comme un diplôme en inhalothérapie, un diplôme en sciences infirmières ou un diplôme universitaire dans une science connexeetla réussite d'un programme d'études supérieures collégiales en technologie cardiopulmonaire et une formation supplémentaire en technologie pulmonaire disponible à travers des cours ou par une formation clinique supervisée en milieu de travail sont exigés des technologues cardiopulmonaires."
32103.03,"L'adhésion à l'association nationale, la Canadian Association of Cardio-Pulmonary Technologists (CACPT), peut être exigée des technologues cardiopulmonaires."
32104.00,Un diplôme d'études collégiales de deux ou trois ans en technologie de la santé animale ou en technologie vétérinaire est exigé.
32104.00,La réussite d'un examen d'affiliation national peut être exigée par certains employeurs.
32104.00,"L'affiliation à une association provinciale de technologues vétérinaires et de technologues en santé animale est offerte, et obligatoire dans certaines provinces."
32109.01,"Un diplôme d'études collégiales de deux ou trois ans dans un programme de spécialiste en prothèses auditives, et une formation pratique sous supervision, est exigé des audioprothésistes."
32109.01,"Un permis d'exercice délivré par un organisme de réglementation est exigé pour les audioprothésistes dans toutes les provinces, sauf à l'Île-du-Prince-Édouard, au Nouveau-Brunswick et en Ontario. L’Ontario exige  l'appartenance à l'Association of Hearing Instrument Practitioners (AHIP). Les audioprothésistes peuvent prescrire et délivrer des appareils auditifs, sauf en Ontario, où la distribution dépend d'une ordonnance d'un médecin ou un audiologiste."
32109.02,Un diplôme de niveau collégial d'une durée de trois à quatre ans est exigé des aides orthophonistes et assistants en troubles de la communication.
32109.03,"Un programme de formation de technicien en ophtalmologie d'un an en milieu hospitalier, ou un minimum d'un an de formation en cours d'emploi en tant qu'assistant en ophtalmologie certifié sous la supervision d'un ophtalmologiste, sont exigée des techniciens médicaux en ophtalmologie."
32109.03,"Un programme de formation en technologie médicale en ophtalmologie de deux ans en milieu hospitalier ou un programme de diplôme universitaire de quatre ans en technologie médicale en ophtalmologie,  ou un minimum de deux années de formation en cours d'emploi en tant que techniciens en ophtalmologie certifié sous la supervision d'un ophtalmologiste sont exigés des technologues en ophtalmologie."
32109.03,L'accréditation par la « Joint Commission on Allied Health Personnel in Ophthalmology » peut être exigée par les employeurs.
32109.04,"Un diplôme d’études collégiales de trois ans en physiothérapie ou en techniques de réadaptation et un stage sont exigés, pour les thérapeutes en réadaptation physique, lesquels ne sont représentés qu’au Québec seulement."
32109.04,Un permis d'exercice délivré par l'Ordre professionnel de la physiothérapie du Québec (OPPQ) est exigé pour les thérapeutes en réadaptation physique
32109.05,Un diplôme d'études collégiales de deux ans pour assistant en physiothérapie ouun programme d'assistant en thérapie de la réadaptation de deux ans et une formation pratique supervisée sont exigés des assistants en physiothérapie.
32109.05,Un programme d'études collégiales de deux ans pour assistants en ergothérapie est exigé des assistants en ergothérapie.
32110.00,Un diplôme d'études collégiales de deux ou trois ans en denturologie est exigé.
32110.00,Une période d'apprentissage dans une clinique de denturologie reconnue peut être exigée.
32110.00,Le permis d'exercice accordé par l'organisme de réglementation de la province ou du territoire est exigé.
32111.01,"La réussite d'un programme de niveau collégial, de deux à trois ans, reconnu par l'organisme de réglementation dans la province ou le territoire de résidence, est habituellement exigée des hygiénistes dentaires."
32111.01,Un permis d'exercice accordé par l'organisme de la réglementation provinciale ou territoriale est exigé des hygiénistes dentaires.
32111.02,"La réussite d'un programme collégial de deux à trois ans, de dentothérapie d'une institution reconnue, est exigée des thérapeutes dentaires."
32111.02,"Un permis d'exercice est exigé des thérapeutes dentaires en Saskatchewan, au Yukon, dans les Territoires du Nord-Ouest et au Nunavut."
32112.00,Un programme d'études collégiales en techniques dentaires ouune formation en cours d'emploi d'une durée de quatre ans ou plus sous la surveillance d'un technologue ou technicien dentaire diplômé est exigé des technologues et techniciens dentaires.
32112.00,"Les technologues et techniciens dentaires doivent être inscrits auprès de l'organisme de réglementation dans toutes les provinces, sauf au Manitoba et les territoires."
32120.00,Un programme d'études collégiales de deux ou trois ans en technologie de laboratoire médical est exigéetune formation pratique sous supervision peut être exigée.
32120.00,"Un permis d'exercice d'un organisme de réglementation provincial est exigé à Terre-Neuve-et-Labrador, en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, au Manitoba, en Saskatchewan et en Alberta."
32120.00,L'accréditation par la Société canadienne de science de laboratoire médical est habituellement exigée par les employeurs.
32120.00,Un programme combiné de technologie de laboratoire médical et de radiologie est exigé des techniciens de laboratoire médical et de radiologie.
32120.00,Certains employeurs peuvent exiger un diplôme universitaire en sciences pour les technologistes de laboratoire médical spécialisés.
32121.01,"Un programme de deux à trois ans dans un collège ou un autre programme reconnu en radiodiagnostic ou en appareils d'imagerie par résonance magnétique (pour les technologues en radiologie ou les technologues en résonance magnétique), en technologie appliquée à la médecine nucléaire (pour les technologues en médecine nucléaire) ou en radiothérapie (pour les technologues en radio-oncologie) ouun baccalauréat en sciences de la santé avec spécialisation en radiographie, en médecine nucléaire ou en radiothérapieetun stage pratique supervisé sont exigés."
32121.01,"Un permis d'exercice par un organisme de réglementation est exigé en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, en Saskatchewan et en Alberta."
32121.01,"L’appartenance à une association provinciale est exigée à Terre-Neuve-et-Labrador, à l'Île-du-Prince-Édouard, au Manitoba et aux Territoires du Nord-Ouest."
32121.01,"L'appartenance à l'association nationale, soit l'Association canadienne des technologues en radiation médicale, est exigée dans toutes les provinces, sauf le Québec et la Colombie-Britannique."
32121.02,"Un programme de deux à trois ans dans un collège ou un autre programme reconnu en radiodiagnostic ou en appareils d'imagerie par résonance magnétique (pour les technologues en radiologie ou les technologues en résonance magnétique), en technologie appliquée à la médecine nucléaire (pour les technologues en médecine nucléaire) ou en radiothérapie (pour les technologues en radio-oncologie) ouun baccalauréat en sciences de la santé avec spécialisation en radiographie, en médecine nucléaire ou en radiothérapieetun stage pratique supervisé sont exigés."
32121.02,"Un permis d'exercice par un organisme de réglementation est exigé en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, en Saskatchewan et en Alberta."
32121.02,"L’appartenance à une association provinciale est exigée à Terre-Neuve-et-Labrador, à l'Île-du-Prince-Édouard, au Manitoba et aux Territoires du Nord-Ouest."
32121.02,"L'appartenance à l'association nationale, soit l'Association canadienne des technologues en radiation médicale, est exigée dans toutes les provinces, sauf le Québec et la Colombie-Britannique."
32121.03,"Un programme de deux à trois ans dans un collège ou un autre programme reconnu en radiodiagnostic ou en appareils d'imagerie par résonance magnétique (pour les technologues en radiologie ou les technologues en résonance magnétique), en technologie appliquée à la médecine nucléaire (pour les technologues en médecine nucléaire) ou en radiothérapie (pour les technologues en radio-oncologie) ouun baccalauréat en sciences de la santé avec spécialisation en radiographie, en médecine nucléaire ou en radiothérapieetun stage pratique supervisé sont exigés."
32121.03,"Un permis d'exercice par un organisme de réglementation est exigé en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, en Saskatchewan et en Alberta."
32121.03,"L’appartenance à une association provinciale est exigée à Terre-Neuve-et-Labrador, à l'Île-du-Prince-Édouard, au Manitoba et aux Territoires du Nord-Ouest."
32121.03,"L'appartenance à l'association nationale, soit l'Association canadienne des technologues en radiation médicale, est exigée dans toutes les provinces, sauf le Québec et la Colombie-Britannique."
32121.04,"Un programme de deux à trois ans dans un collège ou un autre programme reconnu en radiodiagnostic ou en appareils d'imagerie par résonance magnétique (pour les technologues en radiologie ou les technologues en résonance magnétique), en technologie appliquée à la médecine nucléaire (pour les technologues en médecine nucléaire) ou en radiothérapie (pour les technologues en radio-oncologie) ouun baccalauréat en sciences de la santé avec spécialisation en radiographie, en médecine nucléaire ou en radiothérapieetun stage pratique supervisé sont exigés."
32121.04,Un certificat collégial en imagerie par résonance magnétique est exigé des technologues en résonance magnétique.
32121.04,"Un permis d'exercice par un organisme de réglementation est exigé en Nouvelle-Écosse, au Nouveau-Brunswick, au Québec, en Ontario, en Saskatchewan et en Alberta."
32121.04,"L’appartenance à une association provinciale est exigée à Terre-Neuve-et-Labrador, à l'Île-du-Prince-Édouard, au Manitoba et aux Territoires du Nord-Ouest."
32122.00,Un programme de trois ou quatre ans en échographie diagnostique ou en technologie en échographieouune formation de deux à trois ans dans un domaine connexe des soins de santé et un programme d'études supérieures d'un an en échographie diagnostique offert par un établissement accrédité sont exigés.
32122.00,Un permis d'exercice d'Échographie Canada ou de l'American Registry of Diagnostic Medical Sonographers est habituellement exigé par les employeurs.
32122.00,"Un permis d'exercice de l'Ordre des technologues en imagerie médicale, en radio-oncologie et en électrophysiologie médicale du Québec est exigé au Québec."
32122.00,L'inscription à la College of Medical Radiation Technologists of Ontario (CMRTO) est exigée en Ontario.
32123.01,Un programme d'études collégiales de deux ans en technologie appliquée à la cardiologie etune formation pratique supervisée sont exigés des technologues en cardiologie.
32123.01,"L'affiliation à la Société canadienne des technologues en cardiologie est exigée des technologues en cardiologie dans toutes les provinces, sauf au Québec."
32123.02,Un programme d'études collégiales ou un programme de formation reconnu en milieu hospitalier de deux ans en technologie de l'électrophysiologie etune formation supervisée sont exigés des technologues en électroencéphalographie.
32123.02,"L'affiliation au Conseil canadien d'agrément des technologues en électroencéphalographie est possible pour les technologues en électroencéphalographie, est exigée en Alberta et est habituellement exigée par les employeurs dans les autres provinces."
32123.02,L'affiliation à l'Association of Electromyography Technologists of Canada est possible pour les technologues en électromyographie et est habituellement exigée par les employeurs.
32123.02,"L'affiliation à l’Ordre des technologues en imagerie médicale, en radio-oncologie et en électrophysiologie médicale du Québec est exigée des technologues en cardiologie et des technologues en électrophysiologie au Québec."
32124.00,Un diplôme collégial de deux ans de technicien en pharmacie ou un diplôme collégial de deux ou trois ans en technique pharmaceutique ainsi qu’une formation pratique sous supervision sont habituellement exigés des techniciens en pharmacie.
32124.00,Les techniciens en pharmacie doivent réussir les examens de certification du Bureau des examinateurs en pharmacie du Canada (BEPC).
32124.00,"Un permis d'exercice d'un organisme de réglementation provincial est exigé dans toutes les provinces pour les techniciens en pharmacie, sauf au Québec."
32129.01,Un diplôme d'études collégiales de deux à trois ans en technique diététique et un programme d'apprentissage supervisé sont exigés des techniciens en diététique.
32129.02,La réussite du programme de formation d'oculariste offert par l'American Society of Ocularists et un programme d'apprentissage supervisé ouun programme d'apprentissage de cinq ans sous la supervision d'un oculariste accrédité est exigé des ocularistes.
32129.02,Un certificat du National Examining Board of Ocularists est habituellement exigé des ocularistes.
32129.03,Un diplôme d'études collégiales de deux ans en technologie des prothèses et des orthèses et trois ans de formation pratique supervisée sont exigés des prothésistes et des orthésistes.
32129.03,Une accréditation du Conseil canadien de la certification des prothésistes et orthésistes peut être exigée des prothésistes et orthésistes.
32129.03,L'affiliation à l'Association canadienne des prothésistes et des orthésistes (ACPO) peut être exigée des techniciens prothésistes et des techniciens orthésistes.
32129.04,Un programme d'études collégiales de deux à trois ans en prothèses et orthèses et un à deux ans de formation pratique supervisée ouun diplôme d'études secondaires et jusqu'à quatre ans de formation pratique sous la supervision d'un prothésiste ou d'un orthésiste accrédité sont habituellement exigés des techniciens prothésistes et des techniciens orthésistes.
32200.01,"Un programme de formation de quatre ou cinq ans en médecine traditionnelle chinoise offert par un établissement privé, menant à l'obtention d'un diplômeouun diplôme en médecine traditionnelle chinoise d'un établissement d'enseignement reconnu à l'étranger sont habituellement exigés des praticiens en médecine traditionnelle chinoise."
