Code de profile professionnel SIPeC,Renseignements supplementaires
22212.01,"La mobilité est possible vers les postes en techniques de génie mécanique, électrique ou civil, ou vers d'autres postes en techniques de dessin d'ingénierie, moyennant une spécialisation scolaire ou de l'expérience de travail."
22212.01,Les travailleurs en dessin ou en dessin d'ingénierie occupant des postes supérieurs ou de supervision doivent posséder de l'expérience.
22212.02,"La mobilité est possible vers les postes en techniques de génie mécanique, électrique ou civil, ou vers d'autres postes en techniques de dessin d'ingénierie, moyennant une spécialisation scolaire ou de l'expérience de travail."
22212.02,Les travailleurs en dessin ou en dessin d'ingénierie occupant des postes supérieurs ou de supervision doivent posséder de l'expérience.
22213.01,Il existe une certaine mobilité entre les différents postes de ce groupe de base.
22213.01,L'expérience permet d'accéder à des postes de supervision.
22213.01,L'accréditation et la réussite des examens d'arpenteur-géomètre permettent aux technologues et aux techniciens de devenir arpenteur-géomètre.
22213.01,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22213.01,"Les technologues et les techniciens en arpentage peuvent se spécialiser dans un des domaines de levés suivants : levés géodésiques, levés topographiques, levés légaux (cadastres) ou levés en génie."
22213.02,Il existe une certaine mobilité entre les différents postes de ce groupe de base.
22213.02,L'expérience permet d'accéder à des postes de supervision.
22213.02,L'accréditation et la réussite des examens d'arpenteur-géomètre permettent aux technologues et aux techniciens de devenir arpenteur-géomètre.
22213.02,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22213.02,"Les technologues et les techniciens en arpentage peuvent se spécialiser dans un des domaines de levés suivants : levés géodésiques, levés topographiques, levés légaux (cadastres) ou levés en génie."
22214.01,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22214.01,Il existe une certaine mobilité entre les postes de ce groupe de base.
22214.02,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22214.02,Il existe une certaine mobilité entre les postes de ce groupe de base.
22214.03,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22214.03,Il existe une certaine mobilité entre les postes de ce groupe de base.
22214.04,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22214.04,Il existe une certaine mobilité entre les postes de ce groupe de base.
22214.05,"La géomatique est un champ interdisciplinaire comprenant la collecte, l'analyse et la présentation de données à référence spatiale."
22214.05,Il existe une certaine mobilité entre les postes de ce groupe de base.
22220.01,"L'expérience permet d'accéder à des postes en programmation informatique, en développement de médias interactifs, en développement Web ou en analyse de systèmes."
22220.02,"L'expérience permet d'accéder à des postes en programmation informatique, en développement de médias interactifs, en développement Web ou en analyse de systèmes."
22221.00,"L'expérience permet d'accéder à des postes en programmation informatique, en développement de médias interactifs, en développement Web ou en analyse de systèmes."
22222.00,"L'expérience permet d'accéder à des postes en programmation informatique, en développement de médias interactifs, en développement Web ou en analyse de systèmes."
22233.00,L'expérience permet d'accéder à des postes de gestion en construction.
22300.01,"Il existe une certaine mobilité vers des postes tels que technologues et techniciens en arpentage, inspecteurs et estimateurs en construction."
22300.01,L'expérience permet d'accéder à des postes de supervision en construction ou de gestion de la construction.
22300.02,"Il existe une certaine mobilité vers des postes tels que technologues et techniciens en arpentage, inspecteurs et estimateurs en construction."
22300.02,L'expérience permet d'accéder à des postes de supervision en construction ou de gestion de la construction.
22301.01,"La mobilité est possible vers d'autres postes connexes, tels que les postes dans la vente de matériel technique ou des postes de technologues et de techniciens en dessin."
22301.01,"L'expérience permet d'accéder à des postes de supervision comme ceux de superviseur de projets de construction d'installations mécaniques, de superviseur de la fabrication ou de directeur des opérations d'entretien."
22301.02,"La mobilité est possible vers d'autres postes connexes, tels que les postes dans la vente de matériel technique ou des postes de technologues et de techniciens en dessin."
22301.02,"L'expérience permet d'accéder à des postes de supervision comme ceux de superviseur de projets de construction d'installations mécaniques, de superviseur de la fabrication ou de directeur des opérations d'entretien."
22302.01,Il existe une certaine mobilité vers des domaines connexes tels que les ventes techniques.
22302.01,L'expérience permet d'accéder à des postes de gestion.
22302.01,"Les technologues et techniciens de ce groupe peuvent se spécialiser dans la mise au point de procédés de production, de programmes d'assurance de la qualité, de plans et d'échéanciers dans un domaine industriel précis comme la fabrication des métaux, des plastiques, des pâtes et papiers ou des textiles."
22302.02,Il existe une certaine mobilité vers des domaines connexes tels que les ventes techniques.
22302.02,L'expérience permet d'accéder à des postes de gestion.
22302.02,"Les technologues et techniciens de ce groupe peuvent se spécialiser dans la mise au point de procédés de production, de programmes d'assurance de la qualité, de plans et d'échéanciers dans un domaine industriel précis comme la fabrication des métaux, des plastiques, des pâtes et papiers ou des textiles."
22303.00,L'expérience permet d'accéder à des postes d'estimateurs en chef ou de gestion en construction.
22303.00,"Les estimateurs en construction peuvent se spécialiser dans l'évaluation des coûts des projets de construction structurale, électrique ou mécanique."
22310.01,"La mobilité est possible vers d'autres postes connexes, tels que les postes de techniciens d'entretien et de réparation de matériel électronique, de techniciens en instrumentation, de techniciens en avionique et des postes dans la vente de matériel technique."
22310.01,"L'expérience permet d'accéder à des postes de direction en génie, en fabrication ou en exploitation."
22310.02,"La mobilité est possible vers d'autres postes connexes, tels que les postes de techniciens d'entretien et de réparation de matériel électronique, de techniciens en instrumentation, de techniciens en avionique et des postes dans la vente de matériel technique."
22310.02,"L'expérience permet d'accéder à des postes de direction en génie, en fabrication ou en exploitation."
22311.00,L'expérience permet d'accéder à des postes de supervision.
22312.00,L'expérience permet d'accéder à des postes de supervision.
22312.00,La mention Sceau rouge permet une mobilité interprovinciale.
22313.01,La licence de TEA peut être obtenue si les critères d'études et de formation mentionnés ci-dessus sont respectés à condition de réussir les examens de TEA de Transports Canada.
22313.01,"Dans certaines spécialisations seulement, l'expérience permet d'accéder à des postes de supervision."
22313.01,Les mécaniciens et les techniciens d'aéronefs qui travaillent dans des ateliers de réparation et de mise au point testent des composantes électriques et électroniques ainsi que des composantes d'instruments.
22313.01,"Les mécaniciens et techniciens en avionique qui travaillent dans des hangars d'entretien recherchent les causes des pannes, effectuent des réparations et installent et inspectent les systèmes et les composantes des aéronefs."
22313.02,La licence de TEA peut être obtenue si les critères d'études et de formation mentionnés ci-dessus sont respectés à condition de réussir les examens de TEA de Transports Canada.
22313.02,"Dans certaines spécialisations seulement, l'expérience permet d'accéder à des postes de supervision."
22313.02,Les mécaniciens et les techniciens d'aéronefs qui travaillent dans des ateliers de réparation et de mise au point testent des composantes électriques et électroniques ainsi que des composantes d'instruments.
22313.02,"Les mécaniciens et techniciens en avionique qui travaillent dans des hangars d'entretien recherchent les causes des pannes, effectuent des réparations et installent et inspectent les systèmes et les composantes des aéronefs."
22313.03,Les inspecteurs en avionique et les mécaniciens et techniciens d'entretien peuvent obtenir sur leur licence de TEA des annotations leur permettant de vérifier et de certifier une gamme plus variée d'aéronefs et de systèmes d'aéronefs.
22313.03,La licence de TEA peut être obtenue si les critères d'études et de formation mentionnés ci-dessus sont respectés à condition de réussir les examens de TEA de Transports Canada.
22313.03,"Dans certaines spécialisations seulement, l'expérience permet d'accéder à des postes de supervision."
22313.03,"Les mécaniciens et techniciens en avionique qui travaillent dans des hangars d'entretien recherchent les causes des pannes, effectuent des réparations et installent et inspectent les systèmes et les composantes des aéronefs."
22313.04,Les inspecteurs en avionique et les mécaniciens et techniciens d'entretien peuvent obtenir sur leur licence de TEA des annotations leur permettant de vérifier et de certifier une gamme plus variée d'aéronefs et de systèmes d'aéronefs.
22313.04,La licence de TEA peut être obtenue si les critères d'études et de formation mentionnés ci-dessus sont respectés à condition de réussir les examens de TEA de Transports Canada.
22313.04,"Dans certaines spécialisations seulement, l'expérience permet d'accéder à des postes de supervision."
30010.00,Il n'y a pas ou peu de mobilité entre les services des différents domaines de spécialisation médicale.
30010.00,L'expérience permet d'accéder à des postes de cadres supérieurs dans la prestation des soins de santé.
30010.00,"Les directeurs des soins de santé se spécialisent dans l'administration de soins de santé particuliers tels que la diététique, la médecine clinique, la médecine de laboratoire, les soins infirmiers, la physiothérapie ou la chirurgie."
31100.01,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.02,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.03,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.04,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.05,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.06,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.07,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.08,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.09,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.10,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.11,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.12,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.13,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31100.14,"L'expérience permet d'accéder à des postes de direction, tels que directeur de la médecine de laboratoire."
31101.01,"L'expérience permet d'accéder à des postes de direction, tels que directeur des services de chirurgie."
31101.02,"L'expérience permet d'accéder à des postes de direction, tels que directeur des services de chirurgie."
31101.03,"L'expérience permet d'accéder à des postes de direction, tels que directeur des services de chirurgie."
31101.04,"L'expérience permet d'accéder à des postes de direction, tels que directeur des services de chirurgie."
31101.05,"L'expérience permet d'accéder à des postes de direction, tels que directeur des services de chirurgie."
31102.00,Une formation supplémentaire permet aux omnipraticiens et aux médecins de médecine familiale de devenir médecins spécialistes.
31103.00,Les tâches des vétérinaires effectuant de la recherche peuvent s'apparenter à celles de certains biologistes.
31103.00,"Dans son règlement, l'Ordre des médecins vétérinaire du Québec (L'OMVQ) reconnait seulement les spécialités suivantes : Anesthésiologie vétérinaire; Chirurgie des grands animaux; Chirurgie des animaux de compagnie; Dermatologie vétérinaire; Imagerie médicale vétérinaire; Médecine du comportement animal; Médecine des animaux de laboratoire; Médecine interne des grands animaux; Médecine interne des animaux de compagnie; Médecine zoologique; Microbiologie vétérinaire; Neurologie vétérinaire; Oncologie vétérinaire; Ophtalmologie vétérinaire; Pathologie vétérinaire; Pathologie clinique vétérinaire; Thériogénologie vétérinaire; et Urgentologie vétérinaire et soins intensifs."
31110.01,Un certificat du Bureau national d'examens dentaires du Canada donne aux dentistes et aux diplômés de programmes dentaires approuvés le droit d'exercer leur profession dans toutes les provinces canadiennes s'ils répondent aux critères des autorités provinciales et territoriales qui émettent les permis.
31110.01,"Les dentistes qui ont suivi une formation complémentaire et obtenu leur licence peuvent se spécialiser et exercer dans des domaines tels que la chirurgie maxillo-faciale, l'orthodontie, la pédiatrie dentaire, la périodontie, l'endodontie, la prosthodontie, la pathologie bucco-dentaire, la radiologie buccale ou l'hygiène dentaire publique."
31110.02,Un certificat du Bureau national d'examens dentaires du Canada donne aux dentistes et aux diplômés de programmes dentaires approuvés le droit d'exercer leur profession dans toutes les provinces canadiennes s'ils répondent aux critères des autorités provinciales et territoriales qui émettent les permis.
31110.03,Un certificat du Bureau national d'examens dentaires du Canada donne aux dentistes et aux diplômés de programmes dentaires approuvés le droit d'exercer leur profession dans toutes les provinces canadiennes s'ils répondent aux critères des autorités provinciales et territoriales qui émettent les permis.
31110.04,Un certificat du Bureau national d'examens dentaires du Canada donne aux dentistes et aux diplômés de programmes dentaires approuvés le droit d'exercer leur profession dans toutes les provinces canadiennes s'ils répondent aux critères des autorités provinciales et territoriales qui émettent les permis.
31111.00,"Les optométristes peuvent se spécialiser dans l'ajustement d'aides visuelles destinées aux personnes souffrant de cécité partielle, l'ajustement de lentilles cornéennes ou la correction de troubles particuliers de la vue."
31112.01,L'expérience permet d'accéder à des postes de cadres tels qu'audiologiste en chef ou directeur du service d'orthophonie.
31112.02,L'expérience permet d'accéder à des postes de cadres tels qu'audiologiste en chef ou directeur du service d'orthophonie.
31121.00,"Les diététistes et les nutritionnistes sont des titres protégés et utilisés de façon interchangeable en Nouvelle-Écosse, au Québec et en Alberta. Dans ces provinces, les nutritionnistes doivent avoir le même niveau d’éducation et de formation que les diététistes."
31121.00,"Dans certaines provinces, les diététistes qui travaillent comme nutritionnistes en santé publique et coordonnateurs de programmes d'éducation en diététique peuvent exiger un diplôme de maîtrise."
31121.00,L'expérience permet aux diététistes et aux nutritionnistes d'accéder à des postes de direction.
31121.00,"Les diététistes et les nutritionnistes peuvent se spécialiser dans des domaines tels que la gestion des services alimentaires, la nutrition clinique, la nutrition communautaire, la santé publique ou la recherche en diététique."
31200.00,"Les associés en psychologie peuvent être autorisés par les autorités réglementaires de la province à exercer des fonctions normalement réservées aux psychologues, notamment le diagnostic de troubles psychologiques et la communication des diagnostics aux clients."
31200.00,"Les sous-spécialités incluent la psychologie du comportement, de l'enfant, du développement, de l'éducation et du sport, ainsi que la psychologie sociale, la psychologie cognitive, la neuropsychologie et la psychologie industrielle."
31201.00,Le champ d’application de pratique des chiropraticiens varie selon les provinces.
31202.00,"L'expérience et une formation complémentaire permettent aux physiothérapeutes d'accéder à des postes de direction, par exemple celui de directeur des services de physiothérapie."
31202.00,"Les physiothérapeutes peuvent exercer leur profession dans des domaines cliniques tels que la neurologie, l'oncologie, la rhumatologie, l'orthopédie, l'obstétrique, la pédiatrie, la gériatrie, ou dans le traitement physique des patients qui souffrent d'affections cardiovasculaires et cardiopulmonaires, de brûlures ou de blessures sportives ou encore dans le domaine de l'ergonomie."
31203.00,L'expérience et une formation complémentaire permettent aux ergothérapeutes d'accéder à des postes de direction ou d'administration.
31203.00,"Les ergothérapeutes peuvent se spécialiser auprès d'une population spécifique, comme les enfants ou les personnes âgées, les personnes atteintes de problèmes particuliers comme la démence, une lésion traumatique du cerveau ou la douleur chronique, ou s'occuper d'interventions particulières, par exemple des programmes de réinsertion professionnelle."
31204.01,Il n'y a pas de mobilité entre les différentes professions de ce groupe de base.
31204.02,Il n'y a pas de mobilité entre les différentes professions de ce groupe de base.
31209.02,Les titres de podologue et de podiatre sont employés comme synonymes selon la province ou le territoire. L'emploi du titre podiatre ne désigne pas forcément un docteur en médecine podiatrique (D.P.M.).
31209.04,Les docteurs en  médecine ostéopathique peuvent obtenir un permis d'exercice en tant que médecin généraliste.
31300.00,"L'expérience permet d'accéder à des postes de direction, tels que directeur des soins infirmiers."
31301.01,L'expérience permet aux infirmiers autorisés et aux infirmiers psychiatriques autorisés d'accéder à des postes de supervision ou de direction.
31301.01,"Les infirmiers autorisés peuvent se spécialiser dans des domaines tels que la chirurgie, les soins obstétriques, les soins psychiatriques, les soins de phase aiguë, la pédiatrie, la gériatrie, la santé communautaire, la médecine du travail, les soins d'urgence, la réadaptation ou l'oncologie."
31301.04,"La qualification des infirmiers formés exclusivement en tant qu'infirmier psychiatrique autorisé est règlementée au Manitoba, en Saskatchewan, en Alberta et en Colombie-Britannique. Dans toutes les autres provinces et tous les territoires, les infirmiers autorisés peuvent travailler en tant qu'infirmiers psychiatriques sans permis additionnel d'infirmier psychiatrique autorisé."
31301.04,L'expérience permet aux infirmiers autorisés et aux infirmiers psychiatriques autorisés d'accéder à des postes de supervision ou de direction.
31302.00,Il y a peu ou pas de mobilité entre les spécialisations des infirmiers praticiens sans une formation supplémentaire.
31303.01,Il n'y a pas de mobilité entre ces professions sans une formation supplémentaire.
31303.02,Il n'y a pas de mobilité entre ces professions sans une formation supplémentaire.
31303.03,Il n'y a pas de mobilité entre ces professions sans une formation supplémentaire.
31303.04,Il n'y a pas de mobilité entre ces professions sans une formation supplémentaire.
31303.04,Les orthoptistes peuvent également être formés comme techniciens ou technologues en ophtalmologie.
31303.04,"Les orthoptistes font souvent partie d'une équipe médicale qui inclut également des ophtalmologues, des opticiens et d'autres intervenants médicaux en ophtalmologie."
31303.05,Il n'y a pas de mobilité entre ces professions sans une formation supplémentaire.
32101.01,L'obligation de travailler sous la supervision d'un médecin ou d'un infirmier autorisé varie d'une province ou d'un territoire à l'autre.
32103.01,"Les superviseurs et formateurs inclus dans ce groupe de base doivent avoir de l'expérience dans leur domaine respectif à titre d'inhalothérapeutes, de perfusionnistes cardiovasculaires et de technologues cardiopulmonaires."
32103.01,"Les inhalothérapeutes peuvent travailler dans des domaines de pratique spécifiques tels que l'anesthésie, les soins de phase aiguë, la néonatalogie et la pédiatrie, les diagnostics cardiopulmonaires, les services d'inhalothérapie à domicile et en milieu communautaire, la recherche et le secteur privé de la santé."
32103.02,"Les superviseurs et formateurs inclus dans ce groupe de base doivent avoir de l'expérience dans leur domaine respectif à titre d'inhalothérapeutes, de perfusionnistes cardiovasculaires et de technologues cardiopulmonaires."
32103.03,"Les superviseurs et formateurs inclus dans ce groupe de base doivent avoir de l'expérience dans leur domaine respectif à titre d'inhalothérapeutes, de perfusionnistes cardiovasculaires et de technologues cardiopulmonaires."
32104.00,L'expérience permet aux technologues en santé animale et aux techniciens vétérinaires d'accéder à des postes de supervision.
32109.01,"Au Québec, les audioprothésistes offrent des services aux adultes et aux enfants."
32109.03,L'expérience et la formation permettent aux techniciens médicaux en ophtalmologie d'accéder à des postes de technologues médicaux en ophtalmologie.
32109.03,Les techniciens en ophtalmologie certifié et les technologues médicaux en ophtalmologie certifié peuvent avoir une certification de spécialité supplémentaire comme celle de biométricien agréé en échographie ophtalmique (ROUB) ou d'échographiste ophtalmique diagnostique agréé (CDOS).
32109.05,"Dans la plupart des provinces, la formation pour assistants en physiothérapie et en ergothérapie est offerte conjointement dans les collèges communautaires."
32120.00,"Les technologues médicaux peuvent se spécialiser dans des domaines comme la chimie clinique, la microbiologie clinique, l'hématologie, l'histotechnologie, médecine transfusionnelle ou l'immunohématologie, la cytotechnologie, la cytogénétique et la génétique moléculaire."
32120.00,"Au Québec, les technologues de laboratoire médical sont désignés sous le nom de « des technologistes médicaux » et sont réglementés par l'Ordre professionnel des technologistes médicaux du Québec (OPTMQ)."
32121.01,Il n'y a pas de mobilité entre les quatre groupes de technologues en radiation médicale sans une formation supplémentaire.
32121.01,L'expérience en tant que technologue en radiation médicale est exigée des superviseurs et des instituteurs cliniques.
32121.01,"Les technologues en radiologie peuvent se spécialiser dans certains domaines comme la tomographie assistée par ordinateur, l'angiographie, la mammographie et la radiologie d'intervention."
32121.02,Il n'y a pas de mobilité entre les quatre groupes de technologues en radiation médicale sans une formation supplémentaire.
32121.02,L'expérience en tant que technologue en radiation médicale est exigée des superviseurs et des instituteurs cliniques.
32121.03,Il n'y a pas de mobilité entre les quatre groupes de technologues en radiation médicale sans une formation supplémentaire.
32121.03,L'expérience en tant que technologue en radiation médicale est exigée des superviseurs et des instituteurs cliniques.
32121.03,"Les technologues en radio-oncologie peuvent se spécialiser dans certains domaines comme la dosimétrie, la stéréotaxie, la tomodensitométrie ou la curiethérapie."
32121.04,Il n'y a pas de mobilité entre les quatre groupes de technologues en radiation médicale sans une formation supplémentaire.
32121.04,L'expérience en tant que technologue en radiation médicale est exigée des superviseurs et des instituteurs cliniques.
32121.04,"Au Québec, les technologues en résonance magnétique sont inclus avec les technologues en radiologie."
32122.00,"L'appartenance à la Société canadienne des échographistes médicaux est possible, mais n'est pas obligatoire."
32122.00,"Les technologues en échographie peuvent se spécialiser en échographie abdominale, cardiaque, cérébrale, obstétricale et gynécologique, ophtalmologique de surface, endoluminale ou vasculaire périphérique. Ils peuvent également se spécialiser en ultrasonographie pour adultes ou pour enfants ou en échographie du système nerveux."
32124.00,L'expérience permet aux techniciens en pharmacie d'accéder à des postes de supervision.
32129.04,Les techniciens prothésistes et les techniciens orthésistes peuvent devenir prothésistes et orthésistes accrédités avec une expérience supplémentaire de deux ans en tant que technicien prothésiste ou technicien orthésiste inscrit et la réussite des examens de certification du Conseil canadien de la certification des prothésistes et orthésistes.
32201.00,Les massothérapeutes peuvent avoir reçu une formation dans de diverses techniques spécialisées de massothérapie.
33100.01,"Dans quelques provinces, il existe deux niveaux d'assistants dentaires : le niveau I, pour les assistants au dentiste, et le niveau II, pour les assistants aux tâches intra-buccales. La progression du niveau I au niveau II est possible moyennant l'éducation, la formation et l'accréditation requises."
33100.02,Les auxiliaires dans les laboratoires dentaires peuvent accéder aux postes de technologues et de techniciens dentaires moyennant une formation et de l'expérience ainsi que l'inscription auprès de l'organisme de réglementation.
33101.00,Certains employeurs peuvent exiger que les techniciens de laboratoires médicaux possèdent un diplôme.
33101.00,"L’étude, la formation et l’expérience supplémentaire permettent aux techniciens de laboratoires médicaux d’accéder à des postes de supervision ou de technologues."
33109.04,L'expérience et la formation permettent aux assistants en ophtalmologie d'accéder à des postes de techniciens en ophtalmologie.
33109.04,Les assistants en ophtalmologie certifiés peuvent avoir une certification de spécialité supplémentaire comme celle de biométricien agréé en échographie ophtalmique (ROUB) ou d'échographiste ophtalmique diagnostique agréé (CDOS).
40010.00,L'expérience permet d'accéder à des postes de cadres supérieurs dans les domaines de la santé et des politiques sociales.
40011.00,L'expérience permet d'accéder à des postes de cadres supérieurs.
40012.00,L'expérience permet d'accéder à des postes de cadres supérieurs en éducation.
40019.00,L'expérience permet d'accéder à des postes de cadres supérieurs dans ce domaine.
40020.01,Il n'y a pas de mobilité parmi les différents postes d'administrateurs de ce groupe.
40020.01,L'expérience permet d'accéder à des postes de direction supérieure dans l'enseignement.
40020.02,Il n'y a pas de mobilité parmi les différents postes d'administrateurs de ce groupe.
40020.02,L'expérience permet d'accéder à des postes de direction supérieure dans l'enseignement.
40020.03,Il n'y a pas de mobilité parmi les différents postes d'administrateurs de ce groupe.
40020.03,L'expérience permet d'accéder à des postes de direction supérieure dans l'enseignement.
40021.01,"Il existe peu de mobilité entre les établissements scolaires, c'est-à-dire entre les postes de directeur d'école primaire et de directeur d'école secondaire."
40021.02,"Il existe peu de mobilité entre les établissements scolaires, c'est-à-dire entre les postes de directeur d'école primaire et de directeur d'école secondaire."
40030.00,"L'expérience et une formation supplémentaire permettent d'accéder à des postes de haute direction en services sociaux, communautaires et correctionnels."
40040.00,"Selon la législation provinciale et territoriale, les coroners en chef adjoints et les médecins légistes en chef adjoints peuvent agir ou être nommés au poste de coroner en chef et de médecin légiste en chef en leur absence."
40042.00,Les officiers supérieurs est classifié selon son grade.
41100.00,"Les juges peuvent se spécialiser dans des domaines particuliers du droit tels que le droit civil, le droit criminel ou le droit de la famille."
41101.00,"Des examens sanctionnés par le barreau provincial sont habituellement exigés des avocats qui désirent exercer leur profession dans une autre province, à l’exception du Nouveau-Brunswick et de la Saskatchewan ou l’Accord de libre circulation nationale (2013) a été mis en oeuvre."
41101.00,"Les avocats (partout au Canada) et les notaires (au Québec) peuvent se spécialiser dans des domaines spécifiques du droit tels que le droit criminel (avocats seulement), le droit des sociétés, le droit contractuel, le droit fiscal, le droit administratif, le droit international, le droit commercial, le droit immobilier, le droit de la famille et des successions, le droit de la propriété intellectuelle et le droit du travail."
41200.00,Les professeurs qui exercent dans leur domaine de spécialisation doivent détenir les permis ou l'accréditation appropriés.
41200.00,"L'expérience permet d'accéder à des postes cadres au sein d'un département, d'une faculté ou d'une université."
41200.00,"Les professeurs et chargés de cours au niveau universitaire sont spécialisés dans un domaine particulier, tel que la biologie, la chimie, l'anatomie, la sociologie, la gestion des affaires ou le droit."
41201.01,Les assistants d'enseignement et de recherche au niveau postsecondaire se spécialisent dans un domaine selon leur champ d'études.
41201.02,Les assistants d'enseignement et de recherche au niveau postsecondaire se spécialisent dans un domaine selon leur champ d'études.
41210.00,"Les enseignants au niveau collégial et autres instructeurs en formation professionnelle sont spécialisés dans des domaines ou champs d'études en particulier comme les arts visuels, l'hygiène dentaire, la soudure, les techniques de génie, les techniques policières, l'informatique, la gestion et les techniques d'éducation de la petite enfance."
41220.00,L'expérience permet d'accéder à des postes de directeur adjoint ou à d'autres postes d'administration au sein du système scolaire.
41220.00,"Au Québec, les programmes de formation professionnelle (métiers) sont habituellement offerts au niveau secondaire."
41220.00,"Les enseignants au niveau secondaire peuvent se spécialiser dans des domaines tels que les mathématiques, l'anglais, le français, l'orthopédagogie ou l'enseignement d'une langue seconde. Les enseignants de matières techniques et de métiers au niveau secondaire peuvent se spécialiser, par exemple, en coiffure ou en mécanique automobile."
41221.00,L'expérience permet d'accéder à des postes de conseiller pédagogique ou de directeur d'école.
41221.00,Les enseignants aux niveaux primaire et préscolaire peuvent se spécialiser dans des domaines tels que l'orthopédagogie et l'enseignement des langues secondes.
41300.00,"Les travailleurs sociaux peuvent se spécialiser dans des champs de pratique comme la protection de l'enfance, les services à la famille, les services correctionnels, la gérontologie ou les dépendances."
41301.00,L'expérience et une formation continue permettent habituellement aux thérapeutes en counseling de se spécialiser dans un domaine en particulier.
41301.00,L'expérience et une formation supplémentaire permettent d'accéder à des postes de direction des services sociaux.
41302.00,"L'expérience permet d'accéder à des postes supérieurs comprises dans ce groupe de base, au sein d'une communauté religieuse."
41310.01,"Pour les enquêteurs de police, l'expérience et une formation supplémentaire permettent d'accéder à des postes de direction des services de police."
41310.02,"Pour les coroners et les médecins légistes, la progression vers des postes de coroner en chef adjoint or de médecin en chef adjoint est possible avec une formation et une expérience supplémentaires."
41311.00,De l'expérience ou une formation supplémentaire permet d'accéder à des postes de direction des services correctionnels.
41320.00,"Les conseillers au niveau primaire dispensent généralement des services qui sont axés davantage sur les aspects sociaux et personnels de la vie que sur les études ou le cheminement professionnel, aspects plus souvent abordés par les conseillers dans les écoles secondaires."
41320.00,"Les conseillers d'orientation qui travaillent dans les collèges,  les universités et d'autres établissements peuvent se spécialiser en orientation scolaire, en counseling personnel ou social, ou en orientation professionnelle."
41320.00,"Les conseillers d’orientation au Québec peuvent également fournir des services d’orientation professionnels à des personnes atteintes d’un trouble mental, d’un handicap ou avec des difficultés d’adaptation. Ceux avec une attestation de formation peuvent également performer certaines évaluation de santé mentale."
41321.00,La mobilité est possible vers des postes dans les services du personnel ou de la formation.
41321.00,L'expérience permet d'accéder à des postes de supervision.
41321.00,"Les conseillers en orientation fournissent des services de développement de carrière spécialisés aux personnes souffrant de maladies physiques ou de blessures, de maladies mentales, y compris les personnes handicapées."
41400.01,L'expérience permet d'accéder à des postes de supervision ou de direction dans ces domaines.
41400.02,L'expérience permet d'accéder à des postes de supervision ou de direction dans ces domaines.
41400.03,L'expérience permet d'accéder à des postes de supervision ou de direction dans ces domaines.
41400.04,L'expérience permet d'accéder à des postes de supervision ou de direction dans ces domaines.
41400.05,L'expérience permet d'accéder à des postes de supervision ou de direction dans ces domaines.
41401.00,L'expérience permet d'accéder à des postes de direction en économie.
41402.00,L'expérience permet d'accéder à des postes de direction.
41403.01,L'expérience permet d'accéder à des postes de direction.
41403.02,L'expérience permet d'accéder à des postes de direction.
41403.03,L'expérience permet d'accéder à des postes de direction.
41403.04,L'expérience permet d'accéder à des postes de direction.
41403.05,L'expérience permet d'accéder à des postes de direction.
41403.06,L'expérience permet d'accéder à des postes de direction.
41403.07,L'expérience permet d'accéder à des postes de direction.
41404.00,L'expérience permet d'accéder à des postes de gestion.
41404.00,"Les agents de programmes, les recherchistes et les experts-conseils en politiques de la santé peuvent se spécialiser dans un domaine en particulier du développement des politiques, de la recherche ou de l'administration de programmes en matière de santé, par exemple la recherche en toxicomanie."
41405.00,L'expérience permet d'accéder à des postes de direction.
41406.01,"La mobilité entre les emplois d'experts-conseils en sports, en loisirs et en condition physique peut être restreinte à chacun de ces domaines respectifs."
41406.03,"L'expérience permet aux superviseurs des programmes de sports, de loisirs et de conditionnement physique d'accéder à des postes de direction dans les sports, les loisirs et le conditionnement physique."
