OaSIS profile code,Lead statement
22313.03,"Avionics mechanics and technicians modify, repair and overhaul aircraft electronic systems."
22313.04,"Avionics inspectors examine instrument, electrical and avionics systems following assembly, modification, repair and overhaul."
30010.00,"Managers in health care plan, organize, direct, control and evaluate the delivery of health care services, such as diagnosis and treatment, nursing and therapy, within institutions, and in other settings, that provide health care services."
31100.01,"Anesthesiologists administer anesthetics prior to, during, or after surgery or other medical procedures."
31100.02,"Internists, general diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems."
31100.03,"Pediatricians, general diagnose, treat, and help prevent children's diseases and injuries."
31100.04,Psychiatrists diagnose and treat psychiatric disorders and act as consultants to other physicians.
31100.05,"Allergists and immunologists diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
31100.06,"Hospitalists manage, coordinate and provide inpatient care predominantly in settings such as medical wards, intensive care units, rehabilitation centers, or emergency rooms."
31100.07,"Neurologists diagnose, treat, and help prevent diseases and disorders of the nervous system involving the brain and spinal cord and other nerve and muscular conditions."
31100.08,Nuclear medicine physicians diagnose and treat diseases using radioactive materials.
31100.09,"Dermatologists diagnose, treat, and help prevent diseases or other conditions of the skin."
31100.10,"Physical medicine and rehabilitation physicians diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation."
31100.11,"Preventive medicine physicians apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death."
31100.12,Radiologists examine and diagnose disorders and diseases using x-rays and radioactive materials.
31100.13,"Other specialists in clinical medicine diagnose and treat diseases and physiological or psychiatric disorders, prescribe medications and treatments and refer patients for surgery."
31100.14,"Specialists in laboratory medicine, including pathologists, diagnose presence and stage of diseases using laboratory techniques and patient specimens. They study the nature, cause and development of diseases in humans and the structural and functional changes caused by diseases."
31101.01,"General surgeons treat diseases, injuries and deformities by performing surgical procedures."
31101.02,"Obstetricians and gynecologists diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system."
31101.03,"Ophthalmologists diagnose, treat, and help prevent diseases and injuries of the eyes and related structures."
31101.04,"Urologists diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
31101.05,Other specialists in surgery assess diseases or disorders to determine appropriate surgical procedures and perform surgical procedures to correct physical abnormalities and deficiencies and repair injuries.
31102.00,"General practitioners and family physicians diagnose and treat the diseases, physiological disorders and injuries of patients. They provide primary contact and continuous care toward the management of patients' health. Residents in training to be general practitioners or family physicians are included in this unit group."
31103.00,"Veterinarians prevent, diagnose and treat diseases and disorders in animals and advise clients on the feeding, hygiene, housing and general care of animals. They can also perform surgical procedures."
31110.01,"Dentists diagnose, treat, prevent and control disorders of the teeth and mouth."
31110.02,Oral and maxillofacial surgeons perform surgery to prepare the mouth for dental implants orto aid in the regeneration of deficient bone and gum tissues.
31110.03,"Orthodontists examine and diagnose dental, jaw or other oral and facial abnormalities, provide orthodontic treatment and place braces in patients' mouths to change the position and relationship of the teeth and jaws."
31110.04,"Prosthodontists examine the patient's teeth, gums and jaws to diagnose disease, injury and decay, provide treatments to enhance dental and facial aesthetics, and replace missing teeth and associated oral structures with permanent devices, such as implant-supported dentures."
31111.00,Optometrists examine eyes to assess and diagnose ocular diseases and disorders. They prescribe and fit eyeglasses and contact lenses and recommend treatments such as exercises to correct vision problems or ocular disorders.
31112.01,"Audiologists diagnose, evaluate and treat individuals with peripheral and central hearing loss, tinnitus and balance problems. Audiologists who are supervisors are included in this occupation."
31112.02,"Speech-language pathologists diagnose, assess and treat human communication disorders including speech, fluency, language, voice and swallowing disorders. Speech-language pathologists who are supervisors are included in this occupation."
31120.01,Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers.
31120.02,"Industrial pharmacists participate in the research, development, promotion and manufacture of pharmaceutical products."
31121.00,"Dietitians and nutritionists assess nutrition related issues of individuals and groups and develop, implement and evaluate nutrition care plans to prevent, treat and manage disease. They manage food and nutrition service systems, and plan health promotion programs."
31200.00,"Psychologists assess and diagnose behavioural, emotional and cognitive disorders, counsel clients, provide therapy, conduct research and apply theory relating to behaviour and mental processes. Psychologists help clients work toward the maintenance and enhancement of psychological, physical, intellectual, emotional, social and interpersonal functioning."
31201.00,"Chiropractors assess, diagnose, treat and prevent patients' neuromuscular-skeletal disorders of the spine, nervous system, pelvis and other body joints using corrective manipulation including spinal column adjustments or other complementary therapies."
31202.00,"Physiotherapists assess clients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning and mobility, alleviate pain and prevent physical dysfunction in clients."
31203.00,"Occupational therapists develop individual and group programs with people affected by illness, injury, developmental disorders, emotional or psychological problems and aging to maintain, restore or increase their ability to care for themselves and to engage in work, school or leisure. They also develop and implement health promotion programs with individuals, community groups and employers."
31204.01,"Recreational therapists implement treatment plans by carrying out specialized therapy sessions employing approaches and techniques such as recreational, sports or other movement therapy."
31204.02,"Kinesiologists and exercise therapists conduct fitness and human movement tests and assessments. They design and implement programs to maintain, rehabilitate or enhance movement and performance in the areas of sports, recreation, work and exercise."
31209.01,"Doctors of podiatric medicine diagnose and treat diseases, deformities and injuries of the human foot."
31209.02,"Chiropodists and diploma or first-degree trained podiatrists treat diseases, deformities and injuries of the human foot."
31209.03,Doctors of osteopathic Medicine use natural healing methods to treat patients' diseases and disorders.
31209.04,"Doctors of osteopathic medicine diagnose and treat disorders and injuries of the musculoskeletal, circulatory and nervous systems."
31300.00,"Nursing coordinators and supervisors coordinate and supervise the activities of registered nurses, registered psychiatric nurses, licensed practical nurses and other nursing personnel in the provision of patient care."
31301.01,"General duty registered nurses provide direct nursing care to patients, deliver health education programs and provide consultative services regarding issues relevant to the practice of nursing."
31301.02,Occupational health nurses are registered nurses who develop and implement employee health education programs and provide direct nursing care in businesses and industry.
31301.03,Community health nurses are registered nurses who provide health education and direct nursing care in public health units and through home visits.
31301.04,Registered psychiatric nurses provide direct nursing care and supportive counselling and life skills programming to patients.
31301.05,Nursing researchers and consultants engage in research activities on issues relevant to the practice of nursing and provide consultative services regarding issues and concerns relevant to the practice of nursing.
31301.06,"Clinical nurses are registered nurses who provide leadership, advice and counsel on the provision of research-based care for specific patient groups within the care of particular health care organizations."
31302.00,"Nurse practitioners are registered nurses with additional education, advanced knowledge and nursing experience, and a specialty of practice. They provide a range of health services to patients and deliver preventive and continuous care toward the management of patients' health. Nurse practitioners work in conjunction with physicians and collaboratively with other nursing colleagues and health-care providers, or they may work independently. Nurse practitioners may specialize in primary healthcare or acute care."
31303.01,Physician assistants provide a range of health services to patients delivering preventive and continuous care toward the management of patients' health.
31303.02,Midwives provide full-course care to women and their babies during the pre- and post-natal period.
31303.03,"Genetic counsellors assess individual or family risk of genetic conditions, and provide information to individuals, families and healthcare providers to promote informed choice."
31303.04,Orthoptists diagnose and treat binocular disorders.
31303.05,"Pathologists’ assistants assist at autopsies and examinations of surgical specimens, or perform autopsies under a pathologist’s supervision."
32100.00,"Opticians assist clients in the selection of eyeglass frames, take the necessary measurements and arrange for the production of eyeglasses or contact lenses, mount lenses in eyeglass frames and fit clients with final prescription eyeglasses and contact lenses. Student opticians and opticians who are managers of optical retail outlets are included in this unit group."
32101.01,"Licensed practical nurses provide nursing care usually under the direction of medical practitioners, registered nurses or other health team members."
32101.02,Operating room technicians prepare patients and provide assistance to medical practitioners prior to and during surgery.
32102.00,Workers in paramedical occupations administer pre-hospital emergency medical care to patients with injuries or medical illnesses and transport them to hospitals or other medical facilities for further medical care. Paramedics who are supervisors are included in this unit group.
32103.01,"Respiratory therapists assist physicians in the evaluation, diagnosis, treatment and care of patients with respiratory and cardiopulmonary disorders. Respiratory therapists who are supervisors or instructors are included in this occupation."
32103.02,Clinical perfusionists provide technical support to patients undergoing cardiac surgery and patients requiring cardio-respiratory support. Clinical perfusionists who are supervisors or instructors are included in this occupation.
32103.03,Cardiopulmonary technologists assist physicians in the technical aspects of diagnosis and treatment of cardiovascular and pulmonary disease. Cardiopulmonary technologists who are supervisors or instructors are included in this occupation.
32104.00,Animal health technologists and veterinary technicians provide technical support to veterinarians by caring for animals and assisting in the diagnosis and treatment of animal health disorders. Animal health technologists and veterinary technicians who are supervisors are included in this unit group.
32109.01,Hearing instrument practitioners perform technical therapy and assessment functions to assist audiologists.
32109.02,Communicative disorders assistants and speech-language pathology assistants assist speech-language pathologists with remedial programs.
32109.03,"Ophthalmic medical technologists and technicians assist ophthalmologists in performing ophthalmic procedures, and surgeries."
32109.04,"Physical rehabilitation therapists develop, implement and monitor treatment plans of clients in collaboration with the physiotherapist or physician."
32109.05,Physiotherapy assistants and occupational therapy assistants assist physiotherapists and/or occupational therapists in treating patients with injuries and physical disabilities.
32110.00,"Denturists examine patients and design, construct and repair removable dentures."
32111.01,ental hygienists provide dental hygiene treatment and services related to oral health promotion and disease and mouth injury prevention.
32111.02,Dental therapists provide limited restorative dental treatment in addition to dental hygiene services.
32112.00,"Dental technologists and technicians design, prepare and fabricate dentures and dental devices as prescribed by dentists and other specialists."
32120.00,"Medical laboratory technologists conduct medical laboratory tests, experiments and analyses to assist in the diagnosis, treatment, monitoring and prevention of disease. Medical laboratory technologists who are supervisors are included in this unit group."
32121.01,Radiological technologists operate radiographic and other equipment to produce images of body structures for the diagnosis of disease and injury. Medical radiation technologists who are supervisors or instructors are included in this occupation.
32121.02,Nuclear medicine technologists operate radiation therapy equipment to administer radiation treatment and produce images of body structures for the diagnosis of diseases. This occupation includes supervisors and instructors.
32121.03,Radiation therapists operate radiation therapy equipment to administer radiation treatments. This occupation includes supervisors and instructors.
32121.04,Magnetic resonance technologists operate magnetic resonance imaging (MRI) scanners to produce anatomic images of the human body for diagnosis by radiologists of disease or injury. This occupation includes supervisors and instructors.
32122.00,"Medical sonographers operate ultrasound equipment to produce and record images of various parts of the body to aid physicians in monitoring pregnancies and in diagnosing cardiac, ophthalmic, vascular and other medical disorders. Medical sonographers who are supervisors or instructors are included in this unit group."
32123.01,"Cardiology technologists operate electrocardiogram equipment and use medical imaging technologies to record cardiac activity of patients to aid in the diagnosis, monitoring and treatment of heart disease. Cardiology technologists who are supervisors or instructors are included in this occupation."
32123.02,"Electrophysiological diagnostic technologists operate electroencephalographic, electromyographic and other electrophysiological diagnostic equipment to assist physicians in diagnosing diseases, injuries and abnormalities. Electrophysiological diagnostic technologists who are supervisors or instructors are included in this occupation."
32124.00,"Pharmacy technicians perform technical functions relating to prescriptions including gathering patients’ information, product preparation, product distribution and inventory control. Pharmacy technicians who are supervisors are included in this unit group."
32129.01,Dietary technicians help dietitians and nutritionists plan and supervise food service operations.
32129.02,"Ocularists design, fabricate and fit ocular prostheses."
32129.03,"Prosthetists and orthotists design, fabricate, fit and repair prosthetic and orthotic devices."
32129.04,"Prosthetic and orthotic technicians assemble, build and repair prosthetic and orthotic appliances."
32200.01,Traditional Chinese medical practitioners are practitioners of natural healing who provide an alternative form of health care to patients.
32200.02,Acupuncturists are practitioners of natural healing who provide an alternative form of health care to patients.
32201.00,"Massage therapists assess soft tissues and joints of the body for treatment and prevention of dysfunction, injury, pain and physical disorders."
32209.01,Herbalists are practitioners of natural healing who provide an alternative form of health care to patients.
32209.02,"Osteopathic manual practitioners assess, treat and manage musculoskeletal and other related disorders of the body's structure."
32209.03,Homeopaths are practitioners of natural healing who provide an alternative form of health care to patients.
32209.04,Reflexologists are practitioners of natural healing who provide an alternative form of health care to patients.
32209.05,Holistic nutritionists evaluate the overall health and wellness of clients and recommend nutritional and lifestyle adjustments to address their health issues and to support health goals.
32209.06,"Naturotherapists assess and treat illness and injury through the use of holistic approaches such as herbal remedies, massage, as well as counselling in nutrition and exercise."
33100.01,"Dental assistants assist dentists, dental hygienists and dental therapists during the examination and treatment of patients and perform clerical functions."
33100.02,Dental laboratory assistants assist dental technologists and technicians in preparing and fabricating dentures and other dental devices. Dental laboratory assistants are employed in dental laboratories.
33101.00,"Medical laboratory assistants and workers in related technical occupations perform pre-analysis and pre-testing tasks such as collecting blood and other samples, processing specimens, and preparing special chemicals called reagents for use in testing. They conduct routine medical laboratory tests and set up, clean and maintain medical laboratory equipment."
33102.00,"Nurse aides, orderlies and patient service associates assist nurses, hospital staff and physicians in the basic care of patients."
33103.00,Pharmacy technical assistants perform technical tasks related to preparing medications under a pharmacist’s supervision. They also assist in filling prescriptions and managing patient files. Pharmacy assistants perform clerical functions and assists pharmacists and pharmacy technicians with drug dispensing tasks.
33109.01,"Audiometric technicians administer tests such as pure tone hearing screening, impedance tests and noise level measurements using equipment such as audiometers and sound level meters to determine hearing thresholds of patients."
33109.02,Orthopedic technologists assist orthopedic surgeons in the treatment of orthopedic diseases and injuries.
33109.03,Rehabilitation aids prepare and maintain equipment and supplies and provide assistance and services to health care professionals and others in activities related to patient rehabilitation.
33109.04,Ophthalmic assistants operate ophthalmic testing and measuring instruments to aid ophthalmologists in assessing patients' vision and assist ophthalmologists in minor office surgery.
33109.05,Optical/ophthalmic laboratory technicians and assistants use laboratory equipment to fit lenses into frames and make minor repairs for customers.
33109.06,"Sterile processing technicians operate and maintain sterilization equipment to clean and disinfect instruments, equipment and other accessories according to safe practice standards so that they can be reused."
33109.07,Blood donor clinic assistants perform a variety of support functions to assist health care professionals and other health care staff.
33109.08,Morgue attendants provide support services and assistance to pathologists.
40010.00,"Government managers in health and social policy development and program administration plan, organize, direct, control and evaluate the development and administration of health care policies, social policies and related programs designed to protect and promote the health and social welfare of individuals and communities."
40011.00,"Government managers in economic analysis, policy development and program administration plan, organize, direct, control and evaluate economic policy, research and programs in areas of government activity such as taxation, international trade, labour markets, transportation or agriculture. They also plan and direct policies and programs to promote industrial and commercial business development in urban and rural areas."
40012.00,"Government managers in education policy development and program administration organize, direct, control and evaluate the development and administration of elementary, secondary and post-secondary education policies and programs."
40019.00,"Other managers in public administration plan, organize, direct, control and evaluate the development of policies and programs which govern the daily operations of legislatures and other activities unique to government such as intergovernmental affairs and elections."
40020.01,Faculty administrators manage the academic and related activities of faculties of colleges and universities.
40020.02,Registrars manage registration activities and academic record systems of colleges and universities.
40020.03,"Administrators of vocational training schools manage the operations of private vocational schools specializing in trades, technology, business and other vocational subjects."
40021.01,"School principals plan, organize, direct, control and evaluate the activities of teachers and other staff of an elementary or secondary school."
40021.02,"Administrators of elementary and secondary education plan, organize, direct, control and evaluate the academic affairs of a school system."
40030.00,"Managers in social, community and correctional services plan, organize, direct, control and evaluate the programs and activities of social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations."
40040.00,"Commissioned police officers and related occupations in public protection services plan, organize, direct, control and evaluate police force administration and police activities such as maintaining law and order and detecting and preventing crime. This unit group includes officers from the rank of staff sergeant to police commissioner. Commissioned officers in the railway police, deputy chief coroners, and deputy chief medical examiners are also included in this unit group."
40041.00,"Fire chiefs and senior firefighting officers plan, organize, direct, control and evaluate firefighting operations and fire prevention activities in fire departments."
40042.00,"Commissioned officers of the Canadian Armed Forces plan, organize, command, direct, control and evaluate, the operations of their organization in relation to established objectives. Senior commissioned officers formulate military and strategic policies which establish the direction to be taken by the Canadian Forces. All ranks of commissioned officers in the Royal Canadian Air Force, Canadian Army, and Royal Canadian Navy are included in this unit group."
41100.00,Judges adjudicate civil and criminal cases and administer justice in courts of law.
41101.00,"Lawyers and Quebec notaries advise clients on legal matters, represent clients before administration boards and draw up legal documents such as contracts and wills. Lawyers also plead cases, represent clients before tribunals and conduct prosecutions in courts of law. Articling students are included in this unit group."
41200.00,University professors and lecturers teach courses to undergraduate and graduate students and conduct research at universities. University professors who are heads of departments are included in this unit group.
41201.01,"Post-secondary teaching assistants assist university professors, community college and CEGEP teachers and other faculty members in teaching activities at universities and colleges."
41201.02,"Post-secondary research assistants assist university professors, community college and CEGEP teachers and other faculty members in research activities at universities and colleges."
41210.00,"College and other vocational instructors teach applied arts, academic, technical and vocational subjects to students at community colleges, CEGEPs, agricultural colleges, technical and vocational institutes, language schools and other college level schools. This unit group also includes trainers who are employed by private training establishments, companies, community agencies and governments to deliver internal training or development courses. College teachers who are heads of departments are included in this unit group."
41220.00,"Secondary school teachers prepare and teach academic, technical, vocational or specialized subjects at public and private secondary schools. Secondary school teachers who are heads of departments are included in this unit group."
41221.00,"Elementary school and kindergarten teachers teach basic subjects such as reading, writing and arithmetic or specialized subjects such as English or French as a second language at public and private elementary schools."
41300.00,"Social workers help individuals, couples, families, groups, communities and organizations develop the skills and resources they need to enhance social functioning and provide counselling, therapy and referral to other supportive social services. Social workers also respond to other social needs and issues such as unemployment, racism and poverty."
41301.00,"Therapists in counselling and related specialized therapies assist individuals and groups of clients to identify, understand and overcome personal problems and achieve personal objectives. They can be specialized to work on specific problems and they may practice psychotherapy."
41302.00,"Religious leaders conduct religious services, administer the rites of a religious faith or denomination, provide spiritual and moral guidance and perform other functions associated with the practice of a religion."
41310.01,"Police investigators and professionals in related investigative occupations follow leads and investigate circumstances relating to crimes committed and obtain information to prevent crimes. They plan and coordinate investigations, collect evidence, interview suspects, victims, witnesses and other stakeholders, conduct surveillance and testify in court."
41310.02,"Coroners and medical examiners conduct death investigations, perform autopsies and other medical tests, issue death certificates, and testify in proceedings about observations made during investigations."
41311.00,Probation officers monitor the conduct and behaviour of criminal offenders serving probation terms and serving sentences of two years less a day. They are employed by provincial government. Parole officers monitor the reintegration of criminal offenders serving the remainder of sentences on conditional release and individuals that are subject to a long term supervision order. They also assess inmates and develop rehabilitation programs for criminal offenders who are incarcerated in correctional facilities.
41320.00,"Educational counsellors advise current and prospective students on educational issues, career planning and personal development, and coordinate the provision of counselling services to students, parents, teachers, faculty and staff."
41321.00,Career development practitioners and career counsellors (except education) provide assistance and information to job seeker clients on all aspects of employment search and career planning. They also provide advice and information to employer clients regarding employment issues and human resources. Supervisors of career development practitioners and career counsellors (except education) are included in this unit group.
41400.01,"Ergonomists or human factors specialists conduct research, prepare reports and provide consultation and advice on, and intervene in, the physical, social and psychological interrelationships between persons, their equipment and the environment."
41400.02,"Occupational and industrial hygienists conduct research, prepare reports, provide consultation and advice, and administer programs related to physical and chemical hazards and stresses in the workplace."
41400.03,"Patent agents represent inventors and companies in dealings with the Canadian Patent Office to obtain grants of patents for them, and to advise inventors and applicants on aspects of patent law."
41400.04,"Science policy and program officers conduct research, prepare reports, provide consultation and advice, administer programs in areas related to the natural and applied sciences."
41400.05,"Technology transfer officers transfer and integrate new technologies, usually from university or government research and development environments, to commercial and industrial applications and ensure the protection of intellectual property of researchers and developers."
41401.00,"Economists and economic policy researchers and analysts conduct research, monitor data, analyze information and prepare reports and plans to resolve economic and business problems and develop models to analyze, explain and forecast economic behaviour and patterns. They advise on matters such as finance, fiscal and monetary policy, international trade, agricultural and natural resource commodities and labour and industrial markets."
41402.00,"Business development officers and market researchers and analysts conduct research, provide statistical and analytical supports, identify market trends and potential opportunities, formulate policies and manage programs to stimulate industrial and commercial business investment or tourism in urban and rural areas, or to promote commercial or industrial products and services."
41403.01,"Social policy researchers conduct research, develop policy and implement and administer programs in areas such as employment, immigration, law enforcement, corrections, human rights, housing, labour and family services."
41403.02,"Home economists conduct research, develop policy, and implement and administer programs related to consumer affairs and on the selection and proper use of food products, textiles and other consumer goods."
41403.03,"Housing policy analysts conduct research, develop policy, and implement and administer housing programs."
41403.04,"Immigration and citizenship consultants conduct research, advise clients and prepare immigration, citizenship and visas applications."
41403.05,"International aid and development project officers conduct research, develop policy, and implement and administer programs in international aid and international development."
41403.06,"Social survey researchers conduct research, develop policy and implement or administer programs in areas such as employment, immigration, corrections, housing, labour and family services."
41403.07,"Social services planners conduct research, develop social programs and assess, co-ordinate and develop awareness of existing social services."
41404.00,"Health policy researchers, consultants and program officers conduct research, produce reports and administer health care policies and programs."
41405.00,"Education policy researchers, consultants and program officers conduct research, produce reports and administer elementary, secondary and post-secondary education policies and programs."
41406.01,"Recreation, sports and fitness consultants provide consulting services, conduct research and develop programs and policies related to recreation, sports and physical fitness."
41406.02,"Recreation, sports and fitness policy analysts develop policies related to recreation, sports and physical fitness."
41406.03,"Recreation, sports and fitness program supervisors oversee and administer programs and activities related to recreation, sports and physical fitness."
41407.00,"Program officers unique to government are primarily concerned with the administration and operation of government institutions, such as Parliament, and activities unique to the operations of government, such as international relations, federal-provincial affairs, elections and tribunals."
41409.01,"Anthropologists conduct studies of the origin, development and functioning of human societies and cultures and of human evolution, changing physical characteristics and geographical distribution."
41409.02,"Archaeologists study artifacts to reconstruct the economic, social, political and intellectual lives of past societies."
41409.03,"Geographers study and analyze the spatial distribution and interrelationships of physical, biological, cultural and social patterns."
41409.04,Historians conduct research into phases and aspects of past human activities.
41409.05,"Linguists study the origin, structure and development of languages and apply linguistic theory to problems in teaching, translation and communications."
41409.06,"Political scientists conduct research into the theory, origin, development, interrelationships and functioning of political institutions, political movements and individual political behaviour."
41409.07,"Psychometricians develop psychological tests, scales and measures, and may administer or apply and interpret such tests, scales and measures. Psychometrists administer and score psychological tests, usually under the supervision of a registered psychologist."
41409.08,"Sociologists study the development, structure, social patterns and interrelationships of human societies."
41409.09,Other social science professionals specialize in particular areas of social sciences and humanities disciplines.
42100.00,"Police officers maintain order and enforce laws and regulations. They respond to emergency calls, patrol public areas, regulate traffic, control crowds, arrest offenders and build community relationships."
42101.00,"Firefighters carry out firefighting and fire prevention activities, and assist in other emergencies. Apprentices are also included in this unit group."
42102.00,"Specialized members of the Canadian Armed Forces provide critical technological support for military armament. They are primarily responsible for the maintenance, inspection and technical support of all Canadian Army equipment. They also follow the military and strategic policies established by the leadership of the Canadian Army, the Royal Canadian Airforce, and the Royal Canadian Navy."
42200.01,Paralegals prepare legal documents and conduct research to assist lawyers or other professionals.
42200.02,"Independent paralegals provide legal services to the public as allowed by government legislation, or provide paralegal services on contract to law firms or other establishments."
42200.03,"Notaries public administer oaths, take affidavits, sign legal documents and perform other activities according to the scope of their practice."
42200.04,Trademark agents advise clients on intellectual property matters.
42200.05,"Justices of the peace administer oaths, issue subpoenas, summonses and warrants and perform other court-related duties such as conducting bail hearings."
42201.00,"Social and community service workers administer and implement a variety of social assistance programs and community services, and assist clients to deal with personal and social problems."
42202.01,"Early childhood educators plan, organize, and implement programs for children between the ages of infancy and 12 years. They lead children in activities to stimulate and develop their intellectual, physical and emotional growth and ensure their security and well-being. Supervisors of early childhood educators are included in this occupation."
42202.02,"Early childhood educator assistants provide care for infants and preschool- to school-age children under the guidance of early childhood educators. They lead children in activities to stimulate and develop their intellectual, physical and emotional growth and ensure their security and well-being."
42203.00,"Instructors of persons with disabilities teach children and adults using a variety of techniques to facilitate communication, rehabilitation, social skills and increased independence."
42204.00,"Religion workers include brothers, nuns, monks, religious education workers and others who provide support to ministers of religion or to a religious community and who perform certain functions associated with the practice of a religion."
43100.00,"Elementary and secondary school teacher assistants support students, and assist teachers and counsellors with teaching and non-instructional tasks. They assist in areas of personal care, teaching and behaviour management under the supervision of teachers or other child care professionals."
43109.01,Driving instructors teach motor vehicle and motorcycle driving courses that are outside of educational institutions.
43109.02,Driver's licence examiners conduct road tests and evaluate driving ability of individuals.
43109.03,Sewing instructors teach sewing courses that are outside of educational institutions.
43109.04,Modelling instructors teach modelling courses that are outside of educational institutions.
43200.00,"Sheriffs execute and enforce court orders, warrants and writs, participate in seizure and sale of property and perform courtroom and other related duties. Bailiffs serve legal orders and documents, seize or repossess properties, evict tenants and perform other related activities. Sheriffs and bailiffs must usually complete a training program offered by the province to work in the provincial courts."
43201.00,Correctional service officers guard offenders and detainees and maintain order in correctional institutions and other places of detention. Primary workers develop women offender’s correctional plan and work with other service officers in the correctional team. Correctional service officers who are supervisors are included in this unit group.
43202.01,"Animal control officers enforce by-laws and regulations of provincial and municipal governments concerning stray domestic animals, livestock and wildlife."
43202.02,By-law enforcement officers enforce municipal and provincial regulations.
43202.03,"Commercial transport inspectors ensure compliance with regulations governing load restrictions, the transportation of hazardous materials and public safety."
43202.04,Garbage collection inspectors investigate complaints concerning infractions of garbage collection by-laws.
43202.05,Liquor licence inspectors enforce provincial liquor laws.
43202.06,"Parking control officers enforce by-laws and regulations of provincial and municipal governments concerning parking by-laws on city streets, regional roads and municipal properties."
43202.07,"Taxi inspectors inspect taxicabs for mechanical reliability, cleanliness, licensing and meter accuracy."
43202.08,Zoning inspectors investigate properties in violation of zoning and related by-laws.
43203.01,Border services and customs officers administer and enforce laws and regulations related to customs and border crossing. They conduct interviews and inspections at border crossings to detect undeclared goods and contraband.
43203.02,Immigration officers administer and enforce laws and regulations related to immigration. They determine admissibility of persons seeking entry into Canada by examining documents and conducting interviews.
43204.00,"Operations members of the Canadian Armed Forces provide operational support to soldiers including the proper functioning and testing of military equipment such as vehicles, ships and weapons. They follow the military and strategic policies established by the leadership of the Canadian Army, the Royal Canadian Airforce and the Royal Canadian Navy."
44100.01,"Home child care providers care for children on an ongoing or short-term basis. They care for the well-being and physical and social development of children, assist parents with child care and may assist with household duties."
44100.02,"Foster parents care for foster children, usually on an emergency or temporary basis, as a primary guardian under general direction of foster parent agency."
44101.00,"Home support workers, caregivers and related occupations, provide personal care and companionship for seniors, persons with disabilities and convalescent clients. They provide care in the client's residence, where they may also reside."
44200.00,"Primary combat members of the Canadian Armed Forces provide collective defence measures to protect Canadian waters, land, air space and other interests. They conduct raids and ambushes in combat missions and conduct patrols and escorts in security and stability missions. They also follow the military and strategic policies established by the leadership of the Canadian Army, the Royal Canadian Airforce and the Royal Canadian Navy."
45100.01,Student monitors supervise students to ensure their safety and monitor their behaviour during indoor or outdoor breaks and before and after school hours.
45100.02,Crossing guards monitor pedestrians crossing at intersections on their way to and from school to prevent traffic accidents.
50010.00,"Library, archive, museum and art gallery managers plan, organize, direct, control and evaluate the activities of libraries, archives, museums, art galleries or departments within such institutions."
50011.00,"Managers in publishing, motion pictures, broadcasting and performing arts plan, organize, direct, control and evaluate operations within publishing firms, film, theatre and record production companies and broadcasting facilities."
50012.00,"Recreation, sports and fitness program and service directors plan, organize, direct, control and evaluate the operations of comprehensive recreational, sports and fitness programs and services, national or provincial sports governing agencies and professional athletic teams."
51100.00,"Librarians select, develop, organize and maintain library collections and provide advisory services for users."
51101.01,"Conservators restore and conserve artifacts belonging to museums, galleries and owners of cultural property."
51101.02,Curators recommend the acquisition of museum artifacts and gallery works of art and research their artistic history.
51102.00,"Archivists manage, process, store and disseminate information contained in an organization's archives. They acquire, store and research textual material, pictures, maps, architectural documents, electronic materials, films and videos, and sound recordings and multimedia materials."
51110.00,"Editors review, evaluate and edit manuscripts, articles, news reports and other material for publication, broadcast or interactive media and coordinate the activities of writers, journalists and other staff."
51111.01,"Novelists, playwrights, script writers, poets and other creative writers conceive and write novels, plays, scripts, poetry and other material for publication or presentation."
51111.02,"Content writers (non-technical) write e-copy, blog posts, e-books, podcasts and other forms of Web-based content."
51111.03,Copywriters write text for advertisements and commercials.
51112.00,Technical writers write manuals and specifications for publication or presentation.
51113.00,"Journalists research, investigate, interpret and communicate news and public affairs through newspapers, television, radio and other media."
51114.01,Translators and translator-revisers translate written material from one language to another.
51114.02,"Terminologists conduct research to itemize terms connected with a certain field, define them and find equivalents in another language."
51114.03,"Interpreters translate oral communication from one language to another during speeches, meetings, conferences, debates and conversation, or in court or before administrative tribunals."
51114.04,"Sign language interpreters use sign language to translate spoken language and vice versa during meetings, conversations, television programs or in other instances."
51120.01,"Film, radio, television and video game producers oversee the various stages and scheduling involved in the production of presentations, motion pictures, television shows and radio programs."
51120.02,Directors direct actors and technical crew throughout production and post-production to achieve desired presentation.
51120.03,"Choreographers create dances for film, theatre and television performances that convey stories, ideas and moods, and direct rehearsals for dancers to achieve desired interpretation."
51120.04,"Art directors oversee and control artistic aspects of film, television, video game, radio, dance and theatre productions."
51120.05,"Film editors arrange motion picture film segments into sequences to achieve continuity and desired dramatic, comedic and thematic effects."
