Code de profil professionnel SIPeC,Fonctions principales
22301.01,"préparer des estimations des coûts et des matériaux requis ainsi que des calendriers d'exécution des travaux, et rédiger des rapports;"
22301.01,"mettre à l'essai et analyser des machines, des accessoires et du matériel afin d'en déterminer le rendement, la puissance, la résistance au stress et autres caractéristiques;"
22301.01,"concevoir des moules, des outils, des matrices, des gabarits et des accessoires utilisés en fabrication;"
22301.01,inspecter des installations et des ouvrages mécaniques ou de construction;
22301.01,établir des documents contractuels et des soumissions;
22301.01,superviser et surveiller des projets de construction et inspecter des installations mécaniques;
22301.01,préparer des normes et des calendriers d'exécution des travaux et surveiller l'exécution de programmes d'entretien mécanique ou l'exploitation d'installations mécaniques.
22301.02,"aider à l'élaboration des plans, des dessins et des devis techniques par des méthodes traditionnelles ou assistés par ordinateur (DAO);"
22301.02,"exécuter une gamme limitée de mises à l'essai techniques et d'analyses de machineries, de pièces et de matériaux;"
22301.02,"aider à la conception des moules, des outils, des matrices, des gabarits et autres accessoires utilisés dans le processus de fabrication;"
22301.02,collaborer à l'inspection des projets de construction et des installations mécaniques;
22301.02,"participer à l'installation, à la réparation et à l'entretien des machines et des pièces diverses."
22302.01,"élaborer et diriger des programmes de production, d'inventaire et d'assurance de la qualité au sein d'entreprises de fabrication et autres industries;"
22302.01,concevoir l'aménagement des usines et des installations de production;
22302.01,élaborer et effectuer des études sur le travail et des programmes connexes;
22302.01,"élaborer et appliquer des plans et des programmes de santé, de sécurité et de prévention des incendies en milieu industriel et diriger des programmes de formation en sécurité au travail;"
22302.01,"développer des applications en ayant recours aux techniques DAO-FAO (dessin assisté par ordinateur, fabrication assistée par ordinateur) destinées à commander des robots, des machines à réglage numérique commandées par ordinateur (CNC) ainsi que d'autres procédés et opérations de fabrication."
22302.02,participer à la conception de l'aménagement de l'usine;
22302.02,effectuer des évaluations du travail et autres études;
22302.02,"recueillir et compiler des données opérationnelles et expérimentales et collaborer à la préparation des évaluations, de la programmation, des spécifications et des rapports;"
22302.02,recueillir et analyser des données et des échantillons à l'appui des programmes de contrôle de la qualité et de santé et sécurité industrielles;
22302.02,"élaborer des méthodes de fabrication et de transformation et déterminer les variables connexes, régler les commandes des machines et du matériel, surveiller la production et vérifier les procédés."
22303,"préparer des évaluations de coûts éventuels des matériaux, de la main-d'oeuvre et de l'équipement nécessaires pour mener à bien des projets de construction, selon les soumissions, les estimations de prix, les plans et les devis descriptifs;"
22303,"donner des conseils sur les procédures à suivre pour les soumissions, étudier et analyser les soumissions reçues, en recommander l'acceptation et négocier les contrats;"
22303,"mettre en place et tenir à jour des systèmes et des procédures de soumission, de contrôle et de rapports;"
22303,"préparer des relevés et des prévisions de coûts et de dépenses, à intervalles réguliers, pendant la durée du projet;"
22303,"préparer et tenir à jour des répertoires de fournisseurs, d'entrepreneurs et de sous-traitants;"
22303,"communiquer avec des ingénieurs, des architectes, des propriétaires, des entrepreneurs et des sous-traitants, assurer la liaison avec eux et les consulter et préparer des études de faisabilité économique sur les changements et les ajustements aux évaluations des coûts;"
22303,gérer et coordonner des projets de construction et préparer des états d'avancement des travaux.
22310.01,"concevoir, élaborer et mettre à l'essai du matériel et des systèmes d'alimentation, des systèmes de commande de traitement, des systèmes de télécommunications, de diffusion, d'enregistrement et des systèmes audiovisuels, des systèmes et circuits micro-électroniques, des ordinateurs, des systèmes et des réseaux informatiques et des logiciels;"
22310.01,superviser la construction et les essais de prototypes conformément aux instructions générales et aux normes établies;
22310.01,"mettre en oeuvre ou superviser l'installation, la mise en service et le fonctionnement de l'équipement et des systèmes électriques et électroniques autres que ceux du domaine de l'avionique;"
22310.01,"faire de la recherche appliquée dans les domaines du génie électrique et électronique et de la physique, sous la direction de chercheurs ou d'ingénieurs;"
22310.01,"installer et faire fonctionner de l'équipement standard et spécialisé afin d'évaluer, de mettre à l'essai et d'analyser la performance des composantes, des assemblages et des systèmes électroniques et électriques;"
22310.01,"rédiger des spécifications, des calendriers d'exécution et des rapports techniques et contrôler les calendriers d'exécution et les budgets."
22310.02,"participer à la conception, à la mise au point et à l'essai de composantes, du matériel et des systèmes électriques et électroniques;"
22310.02,"aider à l'inspection, à la mise à l'essai, à l'ajustement et à l'évaluation des composantes et assemblages électriques, électromécaniques et électroniques pour assurer leur conformité aux normes et aux tolérances;"
22310.02,"faire des essais de durée de vie (rodage) sur les composantes, transcrire et analyser les résultats;"
22310.02,aider à la construction et à l'essai des prototypes conformément aux devis techniques;
22310.02,exécuter un certain nombre de fonctions techniques pour appuyer la recherche en matière de génie électrique et électronique et en physique;
22310.02,"installer et faire fonctionner du matériel et des systèmes électriques et électroniques, et en faire l'entretien;"
22310.02,"étalonner les composantes et les instruments électriques et électroniques, selon les manuels techniques ou les instructions écrites;"
22310.02,"recueillir et compiler des données opérationnelles et expérimentales et aider à la préparation des estimés, des échéanciers, des budgets, des devis et des rapports."
22311,"installer, entretenir et réparer le matériel électronique pour le grand public et pour l'usage commercial, tel que téléviseurs, radios, magnétoscopes, appareils stéréophoniques, photocopieurs, ordinateurs et périphériques;"
22311,"inspecter et tester le matériel électronique, les composants et les ensembles électroniques à l'aide de multimètres, de vérificateurs de circuits, d'oscilloscopes, de sondes logiques et autres appareils, outils et équipement électroniques de mesure;"
22311,"repérer le circuit, le composant ou le matériel défectueux et déterminer la raison de la panne;"
22311,"régler, aligner, remplacer ou réparer le matériel électronique, les ensembles ou les composants électroniques en se référant aux manuels et aux schémas, et en utilisant des fers à souder ou tout autre outil manuel ou mécanique;"
22311,remplir les bordereaux de travail et les rapports d'essai et d'entretien;
22311,"superviser, s'il y a lieu, d'autres techniciens du service d'entretien et de réparation."
22312,"consulter les manuels, les schémas de circuits et les diagrammes des fabricants afin de déterminer les méthodes d'essai et d'entretien des instruments de mesure et de contrôle du débit, du niveau, de la pression, de la température, de la composition chimique et autres variables dans la fabrication et le traitement;"
22312,"vérifier le fonctionnement des instruments et des systèmes à l'aide de dispositifs d'essai pneumatiques, électriques et électroniques et d'instruments de mesure de précision afin de déceler les anomalies;"
22312,"réparer et régler les composants du système, comme les détecteurs, les émetteurs et les contrôleurs logiques programmables, ou enlever et remplacer les pièces défectueuses;"
22312,étalonner les composants et les instruments selon les spécifications du fabricant;
22312,exécuter les travaux d'entretien préventif programmé et remplir des rapports d'essai et d'entretien;
22312,installer des instruments de contrôle et de mesure sur le matériel neuf ou déjà en exploitation ainsi que les intégrer aux procédés;
22312,consulter et conseiller les opérateurs de procédés industriels.
22313.01,"réparent, révisent, installent, calibrent et essayent les instruments d'aéronefs."
22313.02,"réparent, révisent, modifient, installent et essayent les systèmes et équipements électriques d'aéronefs."
22313.03,"recherchent les causes des pannes, réparent, révisent, essayent, modifient, installent et inspectent les systèmes d'avionique et les composantes électroniques d'aéronefs, y compris l'équipement de communication, de navigation et de pilotage automatique."
22313.04,"vérifient et inspectent les systèmes avioniques et les instruments et les appareillages électriques d'aéronefs; attestent que les travaux d'installation, d'entretien, de réparation et de révision satisfont aux normes de performance et de sécurité de Transports Canada et de la compagnie."
30010,"planifier, organiser, diriger, contrôler et évaluer la prestation des services des soins de santé au sein d'un service dans un établissement de santé, ou dans d'autres milieux de soins de santé;"
30010,consulter les conseils d'administration et les cadres supérieurs afin de maintenir et de formuler des normes pour la prestation des soins de santé;
30010,élaborer des systèmes d'évaluation afin de surveiller la qualité des soins de santé donnés aux patients;
30010,"surveiller l'utilisation des services diagnostiques, des lits pour les patients hospitalisés et des autres installations afin de s'assurer que les ressources sont utilisées avec efficacité et efficience;"
30010,"préparer et mettre en application des plans pour des nouveaux programmes, des projets spéciaux, des projets d'acquisition de matériel et d'appareils ainsi que des projets de dotation dans leur service ou entreprise;"
30010,planifier et contrôler le budget du service ou de l'établissement;
30010,"représenter le service ou l'établissement lors de réunions avec des représentants du gouvernement, le grand public, les médias et autres organismes;"
30010,surveiller les activités des superviseurs en soins de santé et des autres professionnels;
30010,recruter le personnel médical du service ou de l'établissement.
31100.01,"administrer des anesthésiques avant, pendant ou après une intervention chirurgicale ou d'autres procédures médicales."
31100.02,diagnostiquer et fournir un traitement non chirurgical des maladies et des lésions des systèmes d’organes internes. Fournir des soins principalement aux adultes qui présentent un large éventail de problèmes liés aux organes internes.
31100.03,"diagnostiquer, traiter et aider à prévenir les maladies et les blessures des enfants."
31100.04,"diagnostiquer, traiter et aider à prévenir les troubles de l'esprit."
31100.05,"diagnostiquer, traiter et aider à prévenir les maladies allergiques et les processus pathologiques affectant le système immunitaire."
31100.06,"fournir des soins aux patients hospitalisés principalement dans des environnements tels que les services médicaux, les unités de soins intensifs, les centres de réadaptation ou les salles d'urgence. Gérer et coordonner les soins aux patients tout au long du traitement."
31100.07,"diagnostiquer, traiter et aider à prévenir les maladies et les troubles du système nerveux impliquant le cerveau et la moelle épinière ainsi que d'autres troubles nerveux et musculaires"
31100.08,"diagnostiquer et traiter les maladies en utilisant des matériaux radioactifs. Peut surveiller la préparation, l'administration et l'élimination des radionucléides."
31100.09,"diagnostiquer, traiter et aider à prévenir les maladies ou autres problèmes de la peau."
31100.1,"diagnostiquer et traiter les troubles nécessitant une physiothérapie pour assurer la réadaptation physique, mentale et professionnelle."
31100.11,"appliquer les connaissances de la médecine préventive générale et des questions de santé publique pour promouvoir les soins de santé auprès de groupes ou d'individus, et contribuer à la prévention ou à la réduction des risques de maladie, de blessure, d'invalidité ou de décès. Peut diagnostiquer et traiter des patients dans le cadre de la promotion de la santé clinique et de la prévention des maladies."
31100.12,examiner et diagnostiquer les troubles et les maladies à l'aide de rayons X et de matériaux radioactifs. Peut traiter les patients.
31100.13,"diagnostiquer et traiter les maladies et les troubles physiologiques ou psychiatriques. Ordonner des tests de laboratoire, des rayons X et autres procédures de diagnostic. Prescrire des médicaments et des traitements et diriger les patients au service de chirurgie. Exercer des fonctions de consultant auprès des autres médecins et faire, s'il y a lieu, de la recherche."
31100.14,"diagnostiquer la présence et le stade des maladies en utilisant des techniques de laboratoire et des échantillons des patients. Étudier la nature, la pathogenèse et l'évolution des maladies chez les humains, ainsi que les changements structurels et fonctionnels causés par les maladies. Exercer des fonctions de consultant auprès des autres médecins. Peut pratiquer des autopsies."
31101.01,"traiter les maladies, les blessures et les difformités par des méthodes chirurgicales invasives, peu invasives ou non invasives, telles que l'utilisation d'instruments, d'appareils ou la manipulation manuelle."
31101.02,"fournir des soins médicaux liés à la grossesse ou à l'accouchement. Diagnostiquer, traiter et aider à prévenir les maladies des femmes, en particulier celles qui affectent le système reproductif. Peut également fournir des soins médicaux généraux aux femmes. Peut exercer des fonctions de médecine et de chirurgie gynécologique."
31101.03,"diagnostiquer, traiter et aider à prévenir les maladies et les blessures des yeux et des structures connexes."
31101.04,"diagnostiquer, traiter et aider à prévenir les troubles médicaux et chirurgicaux bénins et malins du système génito-urinaire et des glandes rénales."
31101.05,évaluer les maladies ou les troubles afin de déterminer quelles seront les procédures chirurgicales appropriées;
31101.05,effectuer et superviser des interventions chirurgicales pour corriger les anormalités et les déficiences physiques et réparer les blessures;
31101.05,exercer des fonctions de consultant auprès des autres médecins.
31102,"examiner les patients, consigner leur historique médical, ordonner l'exécution de tests de laboratoire, de radiographies et autres épreuves diagnostiques, et consulter d'autres médecins afin d'évaluer la santé physique et psychologique des patients;"
31102,prescrire et administrer des médicaments et des traitements;
31102,effectuer des interventions chirurgicales courantes ou y participer;
31102,dispenser des soins d'urgence;
31102,assurer la gestion des soins actifs;
31102,vacciner les patients afin de prévenir et de soigner les maladies;
31102,assister aux accouchements et dispenser des soins prénatals et postnatals;
31102,"donner des conseils aux patients et à leurs familles concernant les soins de santé, y compris la promotion de la santé et la prévention des maladies et des accidents;"
31102,fournir des conseils et un encadrement aux patients et à leur famille en ce qui a trait à une foule de questions touchant la santé et le mode de vie;
31102,jouer le rôle de protecteur des droits des patients;
31102,coordonner ou gérer les soins primaires dispensés aux patients;
31102,fournir aux patients les soins à long terme requis;
31102,superviser les services de soins à domicile;
31102,"signaler les naissances, les décès et les cas de maladies contagieuses et les autres maladies aux autorités gouvernementales."
31103,"diagnostiquer les maladies ou les anomalies chez les animaux, les troupeaux et les bandes à l'aide d'examens ou de tests de laboratoire;"
31103,"traiter des animaux malades ou blessés, c'est-à-dire, entre autres, prescrire des médicaments, remettre des os en place, panser des blessures ou pratiquer des interventions chirurgicales;"
31103,vacciner des animaux afin de prévenir et de soigner les maladies;
31103,exécuter des examens de routine ou d'urgence et des autopsies;
31103,"conseiller les clients sur l'alimentation, le comportement, l'élevage, l'hygiène et le soin des animaux;"
31103,"fournir une gamme de services vétérinaires, y compris des services obstétriques, dentaires et d'euthanasie;"
31103,"superviser, au besoin, les techniciens en santé animale et les préposés aux soins des animaux;"
31103,"assumer, au besoin, la responsabilité de l'ensemble des activités d'une clinique ou d'un hôpital vétérinaire ou de services vétérinaires mobiles;"
31103,"effectuer, au besoin, de la recherche en médecine vétérinaire reliée aux domaines tels que la nutrition animale, le développement de produits de soins de santé, et la prévention et le contrôle des maladies;"
31103,"appliquer, s'il y a lieu, la réglementation gouvernementale en matière de contrôle des maladies et d'inspection des produits alimentaires à base de viande ou de ses dérivés."
31110.01,"examiner les dents, les gencives et les tissus adjacents pour diagnostiquer les maladies, les blessures et les caries et planifier un traitement préventif ou correctif approprié;"
31110.01,"fournir des soins dentaires généraux tels que le nettoyage des dents, l'obturation des cavités, la réalisation de canaux radiculaires, l’application de facettes et la pose de couronnes, de ponts et de prothèses;"
31110.01,"remettre en état, extraire et remplacer les dents malades ou cariées;"
31110.01,informer les patients sur l'hygiène buccale et les soins  dentaires préventifs;
31110.01,suivre les progrès du patient pour déterminer les changements ou la progression de la maladie dentaire;
31110.01,prescrire des antibiotiques ou d'autres médicaments selon les besoins;
31110.01,"blanchir, nettoyer ou polir les dents pour leur redonner leur couleur naturelle;"
31110.01,orienter les patients vers des spécialistes dentaires selon les besoins pour les procédures recommandées;
31110.01,"superviser les hygiénistes dentaires, les assistants dentaires et les autres employés;"
31110.01,peut fournir des traitements orthodontiques de base avec une formation complémentaire.
31110.02,"collaborer avec d'autres professionnels, tels que les dentistes restaurateurs et les orthodontistes, pour planifier le traitement;"
31110.02,administrer les anesthésies générales et locales;
31110.02,effectuer des interventions chirurgicales pour préparer la bouche à recevoir des implants dentaires ou pour aider à la régénération des tissus osseux et gingivaux déficients;
31110.02,"enlever les dents abîmées, endommagées et non réparables, ainsi que les tumeurs et autres croissances anormales des régions buccales et faciales;"
31110.02,"effectuer des interventions chirurgicales sur la bouche et les mâchoires pour traiter des conditions telles que les fentes labiales, le palais et les problèmes de croissance des mâchoires;"
31110.02,"fournir un traitement d'urgence des blessures faciales, y compris les lacérations faciales, les lacérations intra-orales et les fractures des os du visage;"
31110.02,"traiter les infections de la cavité buccale, des glandes salivaires, des mâchoires et du cou."
31110.03,"examiner les dents, les gencives et les tissus environnants des patients pour détecter les anomalies du développement des mâchoires, de la position des dents et d'autres structures faciales et dentaires;"
31110.03,"diagnostiquer les anomalies des dents, de la mâchoire ou d'autres anomalies dentaires et faciales;"
31110.03,"proposer un plan de traitement pour des problèmes telles que les sous-occlusions, les surocclusions, l'encombrement et autres;"
31110.03,"concevoir et fabriquer des appareils, tels que des dispositifs de maintien de l'espace, des dispositifs de retenue et des fils pour arcs labiaux et linguaux;"
31110.03,installer des appareils dentaires dans la bouche des patients pour modifier la position et la relation des dents et des mâchoires ou pour réaligner les dents;
31110.03,coordonner les services d'orthodontie avec les professionnels dentaires et médicaux;
31110.03,"informer les patients sur l'amélioration et le maintien des soins orthodontiques, et promouvoir les soins dentaires de routine."
31110.04,"examiner les dents, les gencives et les mâchoires du patient pour diagnostiquer les maladies, les blessures et les caries et planifier un traitement approprié pour améliorer l'esthétique dentaire et faciale du patient ou pour corriger les problèmes oro-faciaux;"
31110.04,"remplacer les dents manquantes et les structures buccales associées par des dispositifs permanents, tels que des prothèses sur implants, des couronnes et des ponts, ou des dispositifs amovibles, tels que des dentiers;"
31110.04,rétablir la fonction et améliorer l'esthétique des victimes de traumatismes ou des personnes souffrant de maladies ou de malformations congénitales;
31110.04,"concevoir et fabriquer des prothèses dentaires, ou superviser les techniciens dentaires qui construisent les appareils;"
31110.04,"adapter les prothèses aux patients, en procédant à tous les ajustements et modifications nécessaires;"
31110.04,"restaurer les dents endommagées avec des matériaux tels que les plombages, les facettes et les couronnes;"
31110.04,"collaborer avec les dentistes généralistes, les spécialistes dentaires et d'autres professionnels de la santé afin d'élaborer des solutions aux problèmes de santé dentaire et bucco-dentaire."
31111,"examiner les yeux des patients et faire des examens à l'aide d'ophtalmoscopes, de biomicroscopes et autres appareils spécialisés afin de déterminer la santé oculaire et l'acuité de la vue;"
31111,"prescrire et administrer des traitements (à l'exclusion d'interventions chirurgicales) afin de sauvegarder, d'améliorer et de corriger la vue, et de gérer les autres maladies et troubles oculaires;"
31111,"prescrire, dispenser et ajuster des lunettes, des lentilles cornéennes et autres aides visuelles;"
31111,"éduquer et conseiller les patients sur l'utilisation et l'entretien des lentilles cornéennes, l'hygiène oculaire, les options chirurgicales et non-chirurgicales, les soins et l'entretien préventifs liés au travail et au style de vie;"
31111,"diriger les patients vers des ophtalmologistes ou autres médecins et chirurgiens afin de soigner tous problèmes oculaires ou maladies, telles que les cataractes, le glaucome et la dégénérescence maculaire et conditions généralisés telles que le diabète et l'hypertension artérielle;"
31111,collaborer avec les ophtalmologistes et d'autres professionnels de la santé pour fournir des soins pré et postopératoires aux patients subissant des opérations des yeux telles que la correction de la vision au laser;
31111,"prescrire, s'il y a lieu, des médicaments provenant d'une liste restreinte;"
31111,mener des recherches et promouvoir l’avancement dans les sciences de la vue.
31112.01,"élaborer et administrer, à l'aide d'instruments et d'équipement électronique spécialisés, des épreuves et des examens audiométriques pour diagnostiquer et évaluer le type et les conséquences de la déficience auditive du patient;"
31112.01,"élaborer et mettre en oeuvre un programme d'adaptation ou de réadaptation pour les patients, notamment en déterminant le choix, le montage et le réglage des appareils d'amplification, comme les appareils auditifs, la rééducation vestibulaire et en enseignant la lecture labiale;"
31112.01,"offrir des conseils et des services instructifs aux patients et à leurs familles quant à la nature, au degré, à l'impact et aux conséquences de la déficience auditive et du traitement de celle-ci;"
31112.01,travailler dans un contexte d'interdisciplinarité en vue d'établir des plans d'intervention;
31112.01,faire de la recherche reliée à l'audiologie et aux troubles de l'audition;
31112.01,"enseigner, au besoin, aux techniciens en audiométrie, aux stagiaires et à tout autre personnel des soins de santé, et les superviser."
31112.02,"administrer des tests et des examens et observer les patients afin d'évaluer et de diagnostiquer les troubles de la parole, de la voix, de la résonance, du langage,de la fluidité, les troubles cognitivo-linguistiques et de la déglutition;"
31112.02,"élaborer et mettre en oeuvre des programmes pour corriger les troubles de la parole, de la voix, du langage, de la fluidité, de la résonance, les troubles cognitivo-linguistiques et de la déglutition;"
31112.02,travailler dans un contexte d'interdisciplinarité en vue d'établir des plans d'intervention d'équipe ou individualisés;
31112.02,offrir des conseils et des services instructifs aux patients et à leurs familles au sujet des troubles de la communication et de la déglutition;
31112.02,"faire de la recherche sur les troubles de la parole et autres troubles de communication, et sur l'élaboration et la conception de procédures et d'instruments de diagnostic;"
31112.02,"enseigner, au besoin, aux assistants en troubles de communication, aux stagiaires et à tout autre personnel des soins de santé, et les superviser."
31120.01,revoir les ordonnances pour s'assurer de la dose exacte;
31120.01,"remplir les ordonnances et, à cette fin, calculer, mesurer et mélanger des quantités de médicaments et autres substances nécessaires, et mettre la quantité prescrite dans des contenants appropriés;"
31120.01,"dispenser les médicaments prescrits aux clients ou à d'autres professionnels de la santé et les renseigner sur les indications, les contre-indications, les effets secondaires, les interactions médicamenteuses et la posologie;"
31120.01,tenir un profil pharmaceutique des clients incluant les substances toxiques et les narcotiques et les médicaments contrôlés;
31120.01,"veiller à la préparation, au conditionnement, à la distribution et à l'entreposage des vaccins, sérums, produits biologiques et autres médicaments et produits pharmaceutiques;"
31120.01,commander et conserver un stock suffisant de fournitures pharmaceutiques;
31120.01,donner des conseils aux clients sur le choix et la façon d'utiliser les médicaments en vente libre;
31120.01,renouveler ou prolonger des ordonnances existantes dans certains cas;
31120.01,"adapter, s'il y a lieu, la formulation, le régime, la durée ou la voie d'administration des médicaments;"
31120.01,"superviser et coordonner, si nécessaire, les activités des autres pharmaciens, des aides en pharmacie, des techniciens en pharmacie et d'autres employés."
31120.02,participer aux travaux de recherche pour le développement de nouveaux médicaments;
31120.02,formuler de nouveaux médicaments mis au point par des chercheurs médicaux;
31120.02,mettre à l'essai et vérifier la stabilité des nouveaux médicaments et en déterminer les capacités d'absorption et d'élimination;
31120.02,coordonner les enquêtes cliniques sur les nouveaux médicaments;
31120.02,"contrôler la qualité des médicaments pendant la production afin d'assurer la conformité aux normes de pureté, d'uniformité, de stabilité et de sécurité des produits;"
31120.02,"élaborer du matériel informatif concernant les usages, les effets thérapeutiques et les risques de certains médicaments;"
31120.02,évaluer l'étiquetage et l'emballage des médicaments de même que la publicité concernant les médicaments;
31120.02,faire la promotion des produits pharmaceutiques auprès des professionnels de la santé.
31121,"élaborer, mettre en oeuvre et évaluer des programmes et des services de nutrition pour les individus, les communautés et les populations;"
31121,"gérer des systèmes de services alimentaires dans les hôpitaux, les établissements de soins de longue durée, les écoles, les points de vente de services alimentaires privés ou d’autres établissements similaires;"
31121,"fournir des conseils sur la nutrition et sur l'interprétation d'étiquette aux professionnels de la santé, aux particuliers, aux diététistes stagiaires, aux groupes communautaires, aux autorités gouvernementales et aux médias;"
31121,évaluer l'état nutritionnel des particuliers et aider à prévenir ou à traiter les conséquences d'une alimentation inadéquate;
31121,"planifier, évaluer et mettre en oeuvre des programmes d'éducation nutritionnelle et élaborer du matériel éducatif à l'intention d'un auditoire varié;"
31121,"agir de façon autonome ou dans un contexte d'interdisciplinarité afin de déterminer les besoins alimentaires des patients et concevoir, mettre en oeuvre et évaluer des régimes normaux et thérapeutiques dans le but de maintenir et d'améliorer l'état de santé général;"
31121,"analyser les documents scientifiques courants concernant la nutrition, faire de la recherche et évaluer l'efficacité des programmes pour améliorer la valeur nutritive, la saveur, l'apparence et la préparation des aliments;"
31121,"travailler au sein de l'industrie au développement, aux essais, à l'évaluation et à la mise en marché de denrées alimentaires, ou agir en tant que représentant commercial en fournissant des renseignements au sujet des produits aux professionnels de la santé;"
31121,"s'entretenir avec d'autres professionnels de la santé, des groupes communautaires, le gouvernement et les médias afin d'offrir des conseils sur l'interprétation de la nutrition, l'intervention en nutrition ainsi que la politique nutritionnelle;"
31121,superviser la formation des diététistes stagiaires.
31200,"examiner et évaluer les comportements, diagnostiquer les troubles comportementaux, émotifs et cognitifs, donner des conseils à leurs clients et les traiter;"
31200,aider leurs clients à gérer une maladie ou un trouble physique;
31200,"donner des conseils à des particuliers et à des groupes afin de les aider à se développer et à mieux s'adapter sur les plans personnel, social et professionnel, et offrir des services de médiation;"
31200,administrer des tests psychologiques standardisés à des fins d'évaluation;
31200,élaborer et évaluer des programmes d'intervention;
31200,"appliquer des théories et des principes psychologiques concernant le comportement et les processus mentaux tels que l'apprentissage, le développement du langage, la mémoire et la perception lors de l'élaboration de programmes de traitement;"
31200,"formuler des hypothèses et des plans expérimentaux, examiner la documentation, effectuer des études et publier des comptes rendus de recherche, des textes éducatifs et des articles;"
31200,"donner des exposés à l'occasion de conférences, d'ateliers et de colloques;"
31200,fournir des services de consultation à des organismes gouvernementaux et autres organismes;
31200,mener une psychologie appliquée et / ou une recherche expérimentale.
31201,procéder à les entrevues avec les patients et recueillir les antécédents médicaux et familiaux du patient;
31201,"effectuer un examen, incluant une évaluation posturale, des tests d’amplitude de mouvement, un examen neurologique et orthopédique de même qu’une palpation des articulations et tissus mous;"
31201,prescrire et/ou effectuer des radiographies et d'autres images et tests au besoin pour diagnostiquer l'état du patient;
31201,"diagnostiquer les troubles neuromusculosquelettiques de la colonne vertébrale, du bassin, des membres et des tissus connexes;"
31201,"définir et mettre en application un plan de traitement comprenant des ajustements ou des manipulations vertébrales et articulaires, du travail des tissus mous et/ou l'utilisation  de thérapies complémentaires tels que l'électrothérapie, l'acupuncture, la thermothérapie et le massage;"
31201,communiquer et collaborer avec d'autres professionnels de la santé;
31201,"conseiller les patients sur  des modalités de traitement alternatives, telles que des exercices correctifs, des conseils sur la posture, le mode de vie et l'alimentation, qui ont un effet positif sur la colonne vertébrale, les articulations, les muscles et le système nerveux;"
31201,diriger les patients vers d’autres professionnels de la santé au besoin.
31202,évaluer les capacités physiques des clients au moyen de procédés d'évaluation tels que les tests de capacité fonctionnelle et établir un diagnostic physiothérapique;
31202,"établir des objectifs de traitement avec les clients, en fonction des diagnostics;"
31202,"élaborer et mettre en oeuvre des plans de traitements en physiothérapie qui comportent des exercices de thérapie, des manipulations, des massages, de l'éducation, de l'électrothérapie, de l'hydrothérapie ainsi que d’autres modalités;"
31202,évaluer l'efficacité des plans de traitement et les modifier en conséquence;
31202,donner des conseils sur les exercices et les stratégies requis à domicile afin d’améliorer ou de maintenir les traitements;
31202,"communiquer avec le médecin des clients et d'autres professionnels de la santé au sujet des difficultés qu'éprouve les clients, de ses besoins et de ses progrès;"
31202,tenir des dossiers cliniques et statistiques et consulter d'autres professionnels de la santé;
31202,"élaborer et exécuter des programmes pour promouvoir la santé des clients, des employés et de la collectivité;"
31202,"effectuer, si nécessaire, des recherches en physiothérapie;"
31202,"fournir, au besoin, des services de consultation ou d'éducation."
31203,"analyser les capacités et les attentes des clients en ce qui a trait aux activités de la vie en les observant, en discutant avec eux et en effectuant des évaluations formelles;"
31203,élaborer des programmes d'intervention visant à répondre aux besoins des clients en matière de soins auto-administrés et d'activités professionnelles et de loisirs;
31203,tenir les dossiers des clients;
31203,travailler dans un contexte d'interdisciplinarité en vue d'établir des plans d'intervention;
31203,agir à titre de consultant et de conseiller relativement aux programmes de promotion de la santé visant à prévenir les incapacités et à optimiser l'autonomie dans toutes les activités de la vie;
31203,"superviser, au besoin, le personnel de soutien et les stagiaires, et dispenser de la formation."
31204.01,"évaluer les patients et réviser les rapports des médecins, des physiothérapeutes, des psychiatres, des conseillers, des enseignants et d'autres professionnels afin de déterminer les capacités et les besoins des patients;"
31204.01,"élaborer, seuls ou par une approche pluridisciplinaire, des plans d'intervention individualisés ou de groupe, basés sur les préoccupations liées à la santé et sur les recommandations de médecins ou d'autres professionnels des soins de la santé;"
31204.01,"concevoir et réaliser des séances de thérapie spécialisée en utilisant des techniques telles que l'art-thérapie, l'athlétisme, la danse, la musicothérapie, la ludothérapie ou la gymnastique corrective, afin de répondre aux besoins physiques ou psychologiques spécifiques des patients;"
31204.01,"coordonner, initier, concevoir et mettre en œuvre des programmes de thérapie spécialisée pour la population générale des patients et dans la communauté;"
31204.01,conseiller les patients sur la manière de gérer leurs capacités mentales et physiques et les aider à s'intégrer dans la communauté;
31204.01,"observer, analyser et enregistrer la participation, les réactions et les progrès des patients pendant les séances de traitement et consulter d'autres professionnels de la santé pour évaluer et modifier les plans de traitement, le cas échéant;"
31204.01,"effectuer, s'il y a lieu, de la recherche dans le domaine du loisir thérapeutique."
31204.02,évaluer les clients afin de déterminer leur niveau de fonctionnement actuel et futur et de contribuer à l'élaboration de programmes individualisés de récupération ou de réadaptation;
31204.02,"concevoir des programmes de thérapie spécialisée afin de maintenir, de réadapter ou d'améliorer le mouvement et le fonctionnement musculosquelettique, ainsi que la performance sportive et récréative et l'efficacité fonctionnelle;"
31204.02,"mettre en oeuvre des programmes thérapeutiques en utilisant des approches et des techniques telles que l'exercice, le sport ou d'autres thérapies du mouvement;"
31204.02,enseigner aux clients les techniques de réadaptation des blessures physiques ou d'amélioration de la performance physique;
31204.02,"observer, enregistrer les observations et analyser les clients lors de séances de traitement, rédiger des rapports de progrès et consulter avec d'autres professionnels de la santé afin d'évaluer et modifier les plans de traitement si nécessaire;"
